CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_ONS_Code,Org_Name,Age_Band,Data_Notes,Indicator,Unit,Value
2013-14,E,East Midlands,34,E10000021,Northamptonshire,25-64,,Coverage_LA,%,73.9602433289471
2013-14,E,East Midlands,34,E10000021,Northamptonshire,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,E,East Midlands,34,E10000021,Northamptonshire,25-64,,Eligible_Population_LA,Number,185428
2013-14,E,East Midlands,00FY,E06000018,Nottingham,25-64,,Coverage_REGION,%,76.6402649304741
2013-14,E,East Midlands,00FY,E06000018,Nottingham,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,E,East Midlands,00FY,E06000018,Nottingham,25-64,,Eligible_Population_LA,Number,73218
2013-14,E,East Midlands,00FY,E06000018,Nottingham,25-64,,Coverage_LA,%,74.0473654019503
2013-14,E,East Midlands,37,E10000024,Nottinghamshire,25-64,,Coverage_LA,%,79.7307351994852
2013-14,E,East Midlands,37,E10000024,Nottinghamshire,25-64,,Eligible_Population_LA,Number,198912
2013-14,E,East Midlands,37,E10000024,Nottinghamshire,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,E,East Midlands,37,E10000024,Nottinghamshire,25-64,,Coverage_REGION,%,76.6402649304741
2013-14,E,East Midlands,00FP,E06000017,Rutland,25-64,,Coverage_LA,%,79.3673616103523
2013-14,E,East Midlands,00FP,E06000017,Rutland,25-64,,Eligible_Population_LA,Number,8346
2013-14,E,East Midlands,00FP,E06000017,Rutland,25-64,,Coverage_REGION,%,76.6402649304741
2013-14,E,East Midlands,00FP,E06000017,Rutland,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,G,East of England,00KB,E06000055,Bedford,25-64,,Coverage_LA,%,74.3454888180401
2013-14,G,East of England,00KB,E06000055,Bedford,25-64,,Coverage_REGION,%,75.0571040914718
2013-14,G,East of England,00KB,E06000055,Bedford,25-64,,Eligible_Population_LA,Number,42971
2013-14,G,East of England,00KB,E06000055,Bedford,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,G,East of England,12,E10000003,Cambridgeshire,25-64,,Coverage_REGION,%,75.0571040914718
2013-14,G,East of England,12,E10000003,Cambridgeshire,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,G,East of England,12,E10000003,Cambridgeshire,25-64,,Eligible_Population_LA,Number,165973
2013-14,G,East of England,12,E10000003,Cambridgeshire,25-64,,Coverage_LA,%,73.5234044091509
2013-14,G,East of England,00KC,E06000056,Central Bedfordshire,25-64,,Eligible_Population_LA,Number,68795
2013-14,G,East of England,00KC,E06000056,Central Bedfordshire,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,G,East of England,00KC,E06000056,Central Bedfordshire,25-64,,Coverage_LA,%,77.9678755723526
2013-14,G,East of England,00KC,E06000056,Central Bedfordshire,25-64,,Coverage_REGION,%,75.0571040914718
2013-14,G,East of England,22,E10000012,Essex,25-64,,Eligible_Population_LA,Number,356703
2013-14,G,East of England,22,E10000012,Essex,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,G,East of England,22,E10000012,Essex,25-64,,Coverage_LA,%,76.2861540273
2013-14,G,East of England,22,E10000012,Essex,25-64,,Coverage_REGION,%,75.0571040914718
2013-14,G,East of England,26,E10000015,Hertfordshire,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,G,East of England,26,E10000015,Hertfordshire,25-64,,Coverage_REGION,%,75.0571040914718
2013-14,G,East of England,26,E10000015,Hertfordshire,25-64,,Coverage_LA,%,75.4338865297917
2013-14,G,East of England,26,E10000015,Hertfordshire,25-64,,Eligible_Population_LA,Number,305437
2013-14,G,East of England,00KA,E06000032,Luton,25-64,,Coverage_REGION,%,75.0571040914718
2013-14,G,East of England,00KA,E06000032,Luton,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,G,East of England,00KA,E06000032,Luton,25-64,,Eligible_Population_LA,Number,54882
2013-14,G,East of England,00KA,E06000032,Luton,25-64,,Coverage_LA,%,69.2412812944135
2013-14,G,East of England,33,E10000020,Norfolk,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,G,East of England,33,E10000020,Norfolk,25-64,,Coverage_REGION,%,75.0571040914718
2013-14,G,East of England,33,E10000020,Norfolk,25-64,,Coverage_LA,%,75.4421540963222
2013-14,G,East of England,33,E10000020,Norfolk,25-64,,Eligible_Population_LA,Number,209090
2013-14,G,East of England,00JA,E06000031,Peterborough,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,G,East of England,00JA,E06000031,Peterborough,25-64,,Coverage_REGION,%,75.0571040914718
2013-14,G,East of England,00JA,E06000031,Peterborough,25-64,,Coverage_LA,%,71.8695543938262
2013-14,G,East of England,00JA,E06000031,Peterborough,25-64,,Eligible_Population_LA,Number,52221
2013-14,G,East of England,00KF,E06000033,Southend-on-Sea,25-64,,Eligible_Population_LA,Number,44897
2013-14,G,East of England,00KF,E06000033,Southend-on-Sea,25-64,,Coverage_REGION,%,75.0571040914718
2013-14,G,East of England,00KF,E06000033,Southend-on-Sea,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,G,East of England,00KF,E06000033,Southend-on-Sea,25-64,,Coverage_LA,%,72.6841437067065
2013-14,G,East of England,42,E10000029,Suffolk,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,G,East of England,42,E10000029,Suffolk,25-64,,Coverage_REGION,%,75.0571040914718
2013-14,G,East of England,42,E10000029,Suffolk,25-64,,Coverage_LA,%,75.7073792942436
2013-14,G,East of England,42,E10000029,Suffolk,25-64,,Eligible_Population_LA,Number,175613
2013-14,G,East of England,00KG,E06000034,Thurrock,25-64,,Coverage_REGION,%,75.0571040914718
2013-14,G,East of England,00KG,E06000034,Thurrock,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,G,East of England,00KG,E06000034,Thurrock,25-64,,Coverage_LA,%,73.3512398676196
2013-14,G,East of England,00KG,E06000034,Thurrock,25-64,,Eligible_Population_LA,Number,41698
2013-14,H,London,00AB,E09000002,Barking and Dagenham,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AB,E09000002,Barking and Dagenham,25-64,,Eligible_Population_LA,Number,52003
2013-14,H,London,00AB,E09000002,Barking and Dagenham,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AB,E09000002,Barking and Dagenham,25-64,,Coverage_LA,%,72.39197738592
2013-14,H,London,00AC,E09000003,Barnet,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AC,E09000003,Barnet,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AC,E09000003,Barnet,25-64,,Coverage_LA,%,68.8420713140645
2013-14,H,London,00AC,E09000003,Barnet,25-64,,Eligible_Population_LA,Number,105421
2013-14,H,London,00AD,E09000004,Bexley,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AD,E09000004,Bexley,25-64,,Coverage_LA,%,78.0356994603569
2013-14,H,London,00AD,E09000004,Bexley,25-64,,Eligible_Population_LA,Number,60225
2013-14,H,London,00AD,E09000004,Bexley,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AE,E09000005,Brent,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AE,E09000005,Brent,25-64,,Coverage_LA,%,68.555099379578
2013-14,H,London,00AE,E09000005,Brent,25-64,,Eligible_Population_LA,Number,98159
2013-14,H,London,00AE,E09000005,Brent,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AF,E09000006,Bromley,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AF,E09000006,Bromley,25-64,,Coverage_LA,%,77.6845087571415
2013-14,H,London,00AF,E09000006,Bromley,25-64,,Eligible_Population_LA,Number,85416
2013-14,H,London,00AF,E09000006,Bromley,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AG,E09000007,Camden,25-64,,Coverage_LA,%,63.4526623888326
2013-14,H,London,00AG,E09000007,Camden,25-64,,Eligible_Population_LA,Number,71064
2013-14,H,London,00AG,E09000007,Camden,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AG,E09000007,Camden,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AH,E09000008,Croydon,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AH,E09000008,Croydon,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AH,E09000008,Croydon,25-64,,Coverage_LA,%,72.4952607305548
2013-14,H,London,00AH,E09000008,Croydon,25-64,,Eligible_Population_LA,Number,106029
2013-14,H,London,00AJ,E09000009,Ealing,25-64,,Eligible_Population_LA,Number,105359
2013-14,H,London,00AJ,E09000009,Ealing,25-64,,Coverage_LA,%,67.2510179481582
2013-14,H,London,00AJ,E09000009,Ealing,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AJ,E09000009,Ealing,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AK,E09000010,Enfield,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AK,E09000010,Enfield,25-64,,Eligible_Population_LA,Number,89366
2013-14,H,London,00AK,E09000010,Enfield,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AK,E09000010,Enfield,25-64,,Coverage_LA,%,74.4723944229349
2013-14,H,London,00AL,E09000011,Greenwich,25-64,,Eligible_Population_LA,Number,75051
2013-14,H,London,00AL,E09000011,Greenwich,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AL,E09000011,Greenwich,25-64,,Coverage_LA,%,72.7332080851688
2013-14,H,London,00AL,E09000011,Greenwich,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AM,E09000012,Hackney and City of London,25-64,Data for City of London have been combined with Hackney to ensure the data are non-disclosive.,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AM,E09000012,Hackney and City of London,25-64,Data for City of London have been combined with Hackney to ensure the data are non-disclosive.,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AM,E09000012,Hackney and City of London,25-64,Data for City of London have been combined with Hackney to ensure the data are non-disclosive.,Eligible_Population_LA,Number,85546
2013-14,H,London,00AM,E09000012,Hackney and City of London,25-64,Data for City of London have been combined with Hackney to ensure the data are non-disclosive.,Coverage_LA,%,71.0681972272228
2013-14,H,London,00AN,E09000013,Hammersmith and Fulham,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AN,E09000013,Hammersmith and Fulham,25-64,,Coverage_LA,%,62.1489470345212
2013-14,H,London,00AN,E09000013,Hammersmith and Fulham,25-64,,Eligible_Population_LA,Number,64627
2013-14,H,London,00AN,E09000013,Hammersmith and Fulham,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AP,E09000014,Haringey,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AP,E09000014,Haringey,25-64,,Coverage_LA,%,71.7470104408772
2013-14,H,London,00AP,E09000014,Haringey,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AP,E09000014,Haringey,25-64,,Eligible_Population_LA,Number,83039
2013-14,H,London,00AQ,E09000015,Harrow,25-64,,Coverage_LA,%,66.3565006422149
2013-14,H,London,00AQ,E09000015,Harrow,25-64,,Eligible_Population_LA,Number,70070
2013-14,H,London,00AQ,E09000015,Harrow,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AQ,E09000015,Harrow,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AR,E09000016,Havering,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AR,E09000016,Havering,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AR,E09000016,Havering,25-64,,Eligible_Population_LA,Number,60741
2013-14,H,London,00AR,E09000016,Havering,25-64,,Coverage_LA,%,77.7547290956685
2013-14,H,London,00AS,E09000017,Hillingdon,25-64,,Eligible_Population_LA,Number,76708
2013-14,H,London,00AS,E09000017,Hillingdon,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AS,E09000017,Hillingdon,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AS,E09000017,Hillingdon,25-64,,Coverage_LA,%,68.9849820096991
2013-14,H,London,00AT,E09000018,Hounslow,25-64,,Coverage_LA,%,67.7074454750564
2013-14,H,London,00AT,E09000018,Hounslow,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AT,E09000018,Hounslow,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AT,E09000018,Hounslow,25-64,,Eligible_Population_LA,Number,79780
2013-14,H,London,00AU,E09000019,Islington,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AU,E09000019,Islington,25-64,,Eligible_Population_LA,Number,71857
2013-14,H,London,00AU,E09000019,Islington,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AU,E09000019,Islington,25-64,,Coverage_LA,%,69.6953671876087
2013-14,H,London,00AW,E09000020,Kensington and Chelsea,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AW,E09000020,Kensington and Chelsea,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AW,E09000020,Kensington and Chelsea,25-64,,Coverage_LA,%,59.5431611391416
2013-14,H,London,00AW,E09000020,Kensington and Chelsea,25-64,,Eligible_Population_LA,Number,47369
2013-14,H,London,00AX,E09000021,Kingston upon Thames,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AX,E09000021,Kingston upon Thames,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AX,E09000021,Kingston upon Thames,25-64,,Coverage_LA,%,70.0025123523993
2013-14,H,London,00AX,E09000021,Kingston upon Thames,25-64,,Eligible_Population_LA,Number,47764
2013-14,H,London,00AY,E09000022,Lambeth,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AY,E09000022,Lambeth,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AY,E09000022,Lambeth,25-64,,Eligible_Population_LA,Number,107000
2013-14,H,London,00AY,E09000022,Lambeth,25-64,,Coverage_LA,%,72.0831775700935
2013-14,H,London,00AZ,E09000023,Lewisham,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00AZ,E09000023,Lewisham,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00AZ,E09000023,Lewisham,25-64,,Coverage_LA,%,73.6606326567927
2013-14,H,London,00AZ,E09000023,Lewisham,25-64,,Eligible_Population_LA,Number,87504
2013-14,H,London,00BA,E09000024,Merton,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00BA,E09000024,Merton,25-64,,Coverage_LA,%,69.6660129824722
2013-14,H,London,00BA,E09000024,Merton,25-64,,Eligible_Population_LA,Number,65781
2013-14,H,London,00BA,E09000024,Merton,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00BB,E09000025,Newham,25-64,,Coverage_LA,%,69.2802456807224
2013-14,H,London,00BB,E09000025,Newham,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00BB,E09000025,Newham,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00BB,E09000025,Newham,25-64,,Eligible_Population_LA,Number,93129
2013-14,H,London,00BC,E09000026,Redbridge,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00BC,E09000026,Redbridge,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00BC,E09000026,Redbridge,25-64,,Coverage_LA,%,71.2192424661321
2013-14,H,London,00BC,E09000026,Redbridge,25-64,,Eligible_Population_LA,Number,79574
2013-14,H,London,00BD,E09000027,Richmond upon Thames,25-64,,Coverage_LA,%,72.8440987487318
2013-14,H,London,00BD,E09000027,Richmond upon Thames,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00BD,E09000027,Richmond upon Thames,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00BD,E09000027,Richmond upon Thames,25-64,,Eligible_Population_LA,Number,59140
2013-14,H,London,00BE,E09000028,Southwark,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00BE,E09000028,Southwark,25-64,,Coverage_LA,%,72.50516539928
2013-14,H,London,00BE,E09000028,Southwark,25-64,,Eligible_Population_LA,Number,93894
2013-14,H,London,00BE,E09000028,Southwark,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00BF,E09000029,Sutton,25-64,,Eligible_Population_LA,Number,54450
2013-14,H,London,00BF,E09000029,Sutton,25-64,,Coverage_LA,%,74.9146005509642
2013-14,H,London,00BF,E09000029,Sutton,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00BF,E09000029,Sutton,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00BG,E09000030,Tower Hamlets,25-64,,Eligible_Population_LA,Number,79410
2013-14,H,London,00BG,E09000030,Tower Hamlets,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00BG,E09000030,Tower Hamlets,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00BG,E09000030,Tower Hamlets,25-64,,Coverage_LA,%,69.0253116735928
2013-14,H,London,00BH,E09000031,Waltham Forest,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00BH,E09000031,Waltham Forest,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00BH,E09000031,Waltham Forest,25-64,,Coverage_LA,%,72.7160334835802
2013-14,H,London,00BH,E09000031,Waltham Forest,25-64,,Eligible_Population_LA,Number,77650
2013-14,H,London,00BJ,E09000032,Wandsworth,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00BJ,E09000032,Wandsworth,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00BJ,E09000032,Wandsworth,25-64,,Coverage_LA,%,67.5840846794352
2013-14,H,London,00BJ,E09000032,Wandsworth,25-64,,Eligible_Population_LA,Number,116014
2013-14,H,London,00BK,E09000033,Westminster,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,H,London,00BK,E09000033,Westminster,25-64,,Coverage_REGION,%,70.3136364611925
2013-14,H,London,00BK,E09000033,Westminster,25-64,,Coverage_LA,%,61.5002840314527
2013-14,H,London,00BK,E09000033,Westminster,25-64,,Eligible_Population_LA,Number,66894
2013-14,A,North East,00EJ,E06000047,County Durham,25-64,,Coverage_LA,%,77.9611832251623
2013-14,A,North East,00EJ,E06000047,County Durham,25-64,,Coverage_REGION,%,76.0558944310974
2013-14,A,North East,00EJ,E06000047,County Durham,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,A,North East,00EJ,E06000047,County Durham,25-64,,Eligible_Population_LA,Number,128192
2013-14,A,North East,00EH,E06000005,Darlington,25-64,,Coverage_REGION,%,76.0558944310974
2013-14,A,North East,00EH,E06000005,Darlington,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,A,North East,00EH,E06000005,Darlington,25-64,,Eligible_Population_LA,Number,26401
2013-14,A,North East,00EH,E06000005,Darlington,25-64,,Coverage_LA,%,77.5500927995151
2013-14,A,North East,00CH,E08000037,Gateshead,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,A,North East,00CH,E08000037,Gateshead,25-64,,Coverage_REGION,%,76.0558944310974
2013-14,A,North East,00CH,E08000037,Gateshead,25-64,,Coverage_LA,%,76.5024513680215
2013-14,A,North East,00CH,E08000037,Gateshead,25-64,,Eligible_Population_LA,Number,50584
2013-14,A,North East,00EB,E06000001,Hartlepool,25-64,,Coverage_LA,%,72.7920290171743
2013-14,A,North East,00EB,E06000001,Hartlepool,25-64,,Coverage_REGION,%,76.0558944310974
2013-14,A,North East,00EB,E06000001,Hartlepool,25-64,,Eligible_Population_LA,Number,22883
2013-14,A,North East,00EB,E06000001,Hartlepool,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,A,North East,00EC,E06000002,Middlesbrough,25-64,,Coverage_LA,%,69.8153270192496
2013-14,A,North East,00EC,E06000002,Middlesbrough,25-64,,Eligible_Population_LA,Number,35793
2013-14,A,North East,00EC,E06000002,Middlesbrough,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,A,North East,00EC,E06000002,Middlesbrough,25-64,,Coverage_REGION,%,76.0558944310974
2013-14,A,North East,00CJ,E08000021,Newcastle upon Tyne,25-64,,Eligible_Population_LA,Number,71883
2013-14,A,North East,00CJ,E08000021,Newcastle upon Tyne,25-64,,Coverage_REGION,%,76.0558944310974
2013-14,A,North East,00CJ,E08000021,Newcastle upon Tyne,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,A,North East,00CJ,E08000021,Newcastle upon Tyne,25-64,,Coverage_LA,%,71.8361782340748
2013-14,A,North East,00CK,E08000022,North Tyneside,25-64,,Coverage_REGION,%,76.0558944310974
2013-14,A,North East,00CK,E08000022,North Tyneside,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,A,North East,00CK,E08000022,North Tyneside,25-64,,Eligible_Population_LA,Number,53453
2013-14,A,North East,00CK,E08000022,North Tyneside,25-64,,Coverage_LA,%,77.8627953529269
2013-14,A,North East,00EM,E06000057,Northumberland,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,A,North East,00EM,E06000057,Northumberland,25-64,,Coverage_REGION,%,76.0558944310974
2013-14,A,North East,00EM,E06000057,Northumberland,25-64,,Coverage_LA,%,78.9947613959186
2013-14,A,North East,00EM,E06000057,Northumberland,25-64,,Eligible_Population_LA,Number,76738
2013-14,A,North East,00EE,E06000003,Redcar and Cleveland,25-64,,Eligible_Population_LA,Number,33682
2013-14,A,North East,00EE,E06000003,Redcar and Cleveland,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,A,North East,00EE,E06000003,Redcar and Cleveland,25-64,,Coverage_LA,%,75.7674722403658
2013-14,A,North East,00EE,E06000003,Redcar and Cleveland,25-64,,Coverage_REGION,%,76.0558944310974
2013-14,A,North East,00CL,E08000023,South Tyneside,25-64,,Coverage_REGION,%,76.0558944310974
2013-14,A,North East,00CL,E08000023,South Tyneside,25-64,,Eligible_Population_LA,Number,37603
2013-14,A,North East,00CL,E08000023,South Tyneside,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,A,North East,00CL,E08000023,South Tyneside,25-64,,Coverage_LA,%,74.8397734223333
2013-14,A,North East,00EF,E06000004,Stockton-on-Tees,25-64,,Eligible_Population_LA,Number,48208
2013-14,A,North East,00EF,E06000004,Stockton-on-Tees,25-64,,Coverage_REGION,%,76.0558944310974
2013-14,A,North East,00EF,E06000004,Stockton-on-Tees,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,A,North East,00EF,E06000004,Stockton-on-Tees,25-64,,Coverage_LA,%,75.0020743445071
2013-14,A,North East,00CM,E08000024,Sunderland,25-64,,Coverage_LA,%,77.159247552876
2013-14,A,North East,00CM,E08000024,Sunderland,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,A,North East,00CM,E08000024,Sunderland,25-64,,Coverage_REGION,%,76.0558944310974
2013-14,A,North East,00CM,E08000024,Sunderland,25-64,,Eligible_Population_LA,Number,71819
2013-14,B,North West,00EX,E06000008,Blackburn with Darwen,25-64,,Coverage_REGION,%,73.027449991651
2013-14,B,North West,00EX,E06000008,Blackburn with Darwen,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,B,North West,00EX,E06000008,Blackburn with Darwen,25-64,,Coverage_LA,%,67.2927703751271
2013-14,B,North West,00EX,E06000008,Blackburn with Darwen,25-64,,Eligible_Population_LA,Number,37374
2013-14,B,North West,00EY,E06000009,Blackpool,25-64,,Coverage_REGION,%,73.027449991651
2013-14,B,North West,00EY,E06000009,Blackpool,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,B,North West,00EY,E06000009,Blackpool,25-64,,Coverage_LA,%,69.7338026619734
2013-14,B,North West,00EY,E06000009,Blackpool,25-64,,Eligible_Population_LA,Number,36364
2013-14,B,North West,00BL,E08000001,Bolton,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,B,North West,00BL,E08000001,Bolton,25-64,,Coverage_REGION,%,73.027449991651
2013-14,B,North West,00BL,E08000001,Bolton,25-64,,Coverage_LA,%,73.1887255577925
2013-14,B,North West,00BL,E08000001,Bolton,25-64,,Eligible_Population_LA,Number,72518
2013-14,B,North West,00BM,E08000002,Bury,25-64,,Coverage_REGION,%,73.027449991651
2013-14,B,North West,00BM,E08000002,Bury,25-64,,Coverage_LA,%,75.0137769160118
2013-14,B,North West,00BM,E08000002,Bury,25-64,,Eligible_Population_LA,Number,48995
2013-14,B,North West,00BM,E08000002,Bury,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,B,North West,00EQ,E06000049,Cheshire East,25-64,,Coverage_ENGLAND,%,74.1619058927919
2013-14,B,North West,00EQ,E06000049,Cheshire East,25-64,,Coverage_REGION,%,73.027449991651
2013-14,B,North West,00EQ,E06000049,Cheshire East,25-64,,Coverage_LA,%,76.0099407783418
2013-14,B,North West,00EQ,E06000049,Cheshire East,25-64,,Eligible_Population_LA,Number,94560
2013-14,B,North West,00EW,E06000050,Cheshire West and Chester,25-64,,Coverage_ENGLAND,%,74.1619058927919
