Table_ref,Collection_Year,Unit,Indicator,Value
1,2012,%,Women_high_grade_25to64,1.1882385504716100
1,2012,Number,Women_high_grade_25to64,41856
1,2012,Number,Women_invited_20to64,4742306
1,2012,Number,Women_invited_25to64,4692227
1,2012,%,Women_low_grade_20to64,5.2479619183057200
1,2012,Number,Women_low_grade_20to64,186581
1,2012,%,Women_low_grade_25to64,5.1456554602167500
1,2012,Number,Women_low_grade_25to64,181257
1,2012,Number,Women_tested_20to64,3590377
1,2012,Number,Women_tested_25to64,3560905
1,2013,Number,Samples_examined_all_ages,3359269
1,2013,Number,Samples_examined_20to64,3336192
1,2013,Number,Samples_examined_25to64,3275635
1,2013,%,Samples_inadequate_20to64,2.2277794563382400
1,2013,%,Samples_inadequate_25to64,2.2284839428080400
1,2013,%,Samples_inadequate_all_ages,2.2362900976373100
1,2013,%,Women_high_grade_20to64,1.2540991913824700
1,2013,Number,Women_high_grade_20to64,41577
1,2013,%,Women_high_grade_25to64,1.2335850410453900
1,2013,Number,Women_high_grade_25to64,40504
1,2013,Number,Women_invited_20to64,4329845
1,2013,Number,Women_invited_25to64,4235069
1,2013,%,Women_low_grade_20to64,5.3857764393319700
1,2013,Number,Women_low_grade_20to64,178554
1,2013,%,Women_low_grade_25to64,5.3005721441976400
1,2013,Number,Women_low_grade_25to64,174041
1,2013,Number,Women_tested_20to64,3349769
1,2013,Number,Women_tested_25to64,3320389
1,2014,Number,Samples_examined_all_ages,3196972
1,2014,Number,Samples_examined_20to64,3182174
1,2014,Number,Samples_examined_25to64,3085586
1,2014,%,Samples_inadequate_20to64,2.3556851385247900
1,2014,%,Samples_inadequate_25to64,2.3665844996704000
1,2014,%,Samples_inadequate_all_ages,2.3648001921818500
1,2014,%,Women_high_grade_20to64,1.3421331373785900
1,2014,Number,Women_high_grade_20to64,43360
1,2014,%,Women_high_grade_25to64,1.3045165714802500
1,2014,Number,Women_high_grade_25to64,41544
1,2014,Number,Women_invited_20to64,4430499
1,2014,Number,Women_invited_25to64,4244755
1,2014,%,Women_low_grade_20to64,5.3856496995367500
1,2014,Number,Women_low_grade_20to64,173993
1,2014,%,Women_low_grade_25to64,5.2882785681718600
1,2014,Number,Women_low_grade_25to64,168412
1,2014,Number,Women_tested_20to64,3269260
1,2014,Number,Women_tested_25to64,3225180
1,2015,Number,Samples_examined_all_ages,3035851
1,2015,Number,Samples_examined_20to64,3024438
1,2015,Number,Samples_examined_25to64,2907984
1,2015,%,Samples_inadequate_20to64,2.4463718548702300
1,2015,%,Samples_inadequate_25to64,2.4676201794782900
1,2015,%,Samples_inadequate_all_ages,2.4533812759585400
1,2015,%,Women_high_grade_20to64,1.3742808892937000
1,2015,Number,Women_high_grade_20to64,42911
1,2015,%,Women_high_grade_25to64,1.3354987079649400
1,2015,Number,Women_high_grade_25to64,41051
1,2015,Number,Women_invited_20to64,4507019
1,2015,Number,Women_invited_25to64,4311001
1,2015,%,Women_low_grade_20to64,5.1636976678122500
1,2015,Number,Women_low_grade_20to64,161233
1,2015,%,Women_low_grade_25to64,5.0628645082540300
1,2015,Number,Women_low_grade_25to64,155624
1,2015,Number,Women_tested_20to64,3164650
1,2015,Number,Women_tested_25to64,3117742
1,2016,Number,Samples_examined_20to64,3066917
1,2016,Number,Samples_examined_25to64,2947917
1,2016,Number,Samples_examined_all_ages,3077813
1,2016,%,Samples_inadequate_20to64,2.5020892316290300
1,2016,%,Samples_inadequate_25to64,2.5217467113219300
1,2016,%,Samples_inadequate_all_ages,2.5090868093675600
1,2016,%,Women_high_grade_20to64,1.3000250198019400
1,2016,Number,Women_high_grade_20to64,40113
1,2016,%,Women_high_grade_25to64,1.2792054903577200
1,2016,Number,Women_high_grade_25to64,38917
1,2016,Number,Women_invited_20to64,4399302
1,2016,Number,Women_invited_25to64,4208888
1,2016,%,Women_low_grade_20to64,5.0277486456249700
1,2016,Number,Women_low_grade_20to64,155134
1,2016,%,Women_low_grade_25to64,4.9593084657916000
1,2016,Number,Women_low_grade_25to64,150876
1,2016,Number,Women_tested_20to64,3127931
1,2016,Number,Women_tested_25to64,3086175
1,2017,Number,Women_invited_20to64,4635129
1,2017,Number,Women_invited_25to64,4445151
1,2017,Number,Women_tested_20to64,3212894
1,2017,Number,Women_tested_25to64,3176648
1,2017,Number,Women_low_grade_20to64,149185
1,2017,%,Women_low_grade_20to64,4.7139658961464500
1,2017,Number,Women_low_grade_25to64,145754
1,2017,%,Women_low_grade_25to64,4.6613118218497100
1,2017,Number,Women_high_grade_20to64,36893
1,2017,%,Women_high_grade_20to64,1.1657495311628600
1,2017,Number,Women_high_grade_25to64,35892
1,2017,%,Women_high_grade_25to64,1.1478505146330800
1,2017,Number,Samples_examined_all_ages,3159163
1,2017,%,Samples_inadequate_all_ages,2.6662758458490400
1,2017,Number,Samples_examined_20to64,3148919
1,2017,%,Samples_inadequate_20to64,2.6586266588629300
1,2017,Number,Samples_examined_25to64,3040309
1,2017,%,Samples_inadequate_25to64,2.6772278738772900
1,2018,Number,Women_invited_20to64,4647908
1,2018,Number,Women_invited_25to64,4457953
1,2018,Number,Women_tested_20to64,3216777
1,2018,Number,Women_tested_25to64,3181762
1,2018,Number,Women_low_grade_20to64,144706
1,2018,%,Women_low_grade_20to64,4.5648090840666100
1,2018,Number,Women_low_grade_25to64,141518
1,2018,%,Women_low_grade_25to64,4.5160812676352100
1,2018,Number,Women_high_grade_20to64,35784
1,2018,%,Women_high_grade_20to64,1.1288207003458000
1,2018,Number,Women_high_grade_25to64,35043
1,2018,%,Women_high_grade_25to64,1.1182820267509500
1,2018,Number,Samples_examined_all_ages,3172612
1,2018,%,Samples_inadequate_all_ages,2.5469550011158000
1,2018,Number,Samples_examined_20to64,3163436
1,2018,Number,Samples_examined_25to64,3059873
1,2018,%,Samples_inadequate_20to64,2.5399597146899800
1,2018,%,Samples_inadequate_25to64,2.5574264029912400
1,2019,Number,Women_invited_20to64,4601405
1,2019,Number,Women_invited_25to64,4412229
1,2019,Number,Women_tested_20to64,3470686
1,2019,Number,Women_tested_25to64,3428327
1,2019,Number,Women_low_grade_20to64,154656
1,2019,%,Women_low_grade_20to64,4.5127775367230700
1,2019,Number,Women_low_grade_25to64,151068
1,2019,%,Women_low_grade_25to64,4.4650987923945400
1,2019,Number,Women_high_grade_20to64,37647
1,2019,%,Women_high_grade_20to64,1.0985188801276000
1,2019,Number,Women_high_grade_25to64,37022
1,2019,%,Women_high_grade_25to64,1.0942548222789100
1,2019,Number,Samples_examined_all_ages,3426072
1,2019,%,Samples_inadequate_all_ages,2.2655974538772100
1,2019,Number,Samples_examined_20to64,3417130
1,2019,Number,Samples_examined_25to64,3299418
1,2019,%,Samples_inadequate_20to64,2.2597325826058700
1,2019,%,Samples_inadequate_25to64,2.2769773335782300
1,2020,Number,Women_invited_20to64,4831824
1,2020,Number,Women_invited_25to64,4631798
1,2020,Number,Women_tested_20to64,3228328
1,2020,Number,Women_tested_25to64,3195862
1,2020,Number,Women_low_grade_20to64,124798
1,2020,%,Women_low_grade_20to64,3.8875144615986500
1,2020,Number,Women_low_grade_25to64,122384
1,2020,%,Women_low_grade_25to64,3.8532160929325800
1,2020,Number,Women_high_grade_20to64,33994
1,2020,%,Women_high_grade_20to64,1.0589285614159300
1,2020,Number,Women_high_grade_25to64,33582
1,2020,%,Women_high_grade_25to64,1.0573171561058800
1,2020,Number,Samples_examined_all_ages,3141699
1,2020,%,Samples_inadequate_all_ages,1.2457272323032900
1,2020,Number,Samples_examined_20to64,3133349
1,2020,Number,Samples_examined_25to64,3024025
1,2020,%,Samples_inadequate_20to64,1.2423129373714800
1,2020,%,Samples_inadequate_25to64,1.2452939377154600
