Table_ref,Collection_Year,Unit,Indicator,Value
3a,2019-20,%,Called_Not_Adeq_30to34,0.209323919
3a,2019-20,%,Called_Not_Adeq_35to39,0.179776644
3a,2019-20,%,Called_Not_Adeq_40to44,0.159092092
3a,2019-20,%,Called_Not_Adeq_45to49,0.114972347
3a,2019-20,%,Called_Not_Adeq_50to54,0.084990484
3a,2019-20,%,Called_Not_Adeq_55to59,0.076347643
3a,2019-20,%,Called_Not_Adeq_60to64,0.075338251
3a,2019-20,%,Called_Not_Adeq_65to69,0.073336194
3a,2019-20,%,Called_Not_Adeq_70to74,0.072081072
3a,2019-20,%,Called_Not_Adeq_75to79,0.088104094
3a,2019-20,%,Called_Not_Adeq_<20,4.50371E-05
3a,2019-20,%,Called_Not_Adeq_>=80,0.17261704
3a,2019-20,%,Called_Not_Adeq_All_Ages,0.099536811
3a,2019-20,%,Cease_Clinical_20to24,0.011565031
3a,2019-20,%,Cease_Clinical_25to29,0.061735267
3a,2019-20,%,Cease_Clinical_25to64,3.97242545
3a,2019-20,%,Cease_Clinical_30to34,0.146837859
3a,2019-20,%,Cease_Clinical_35to39,0.421936203
3a,2019-20,%,Cease_Clinical_40to44,1.140720793
3a,2019-20,%,Cease_Clinical_45to49,3.083581877
3a,2019-20,%,Cease_Clinical_50to54,6.194018335
3a,2019-20,%,Cease_Clinical_55to59,9.671264765
3a,2019-20,%,Cease_Clinical_60to64,13.87791089
3a,2019-20,%,Cease_Clinical_65to69,18.4315787
3a,2019-20,%,Cease_Clinical_70to74,22.20367742
3a,2019-20,%,Cease_Clinical_75to79,22.95162613
3a,2019-20,%,Cease_Clinical_<20,0.000480396
3a,2019-20,%,Cease_Clinical_>=80,16.74632475
3a,2019-20,%,Cease_Clinical_All_Ages,5.813966781
3a,2019-20,Number,Resident_20to24,1945520
3a,2019-20,Number,Resident_25to29,2191616
3a,2019-20,Number,Resident_25to64,16120227
3a,2019-20,Number,Resident_30to34,2282109
3a,2019-20,Number,Resident_35to39,2143215
3a,2019-20,Number,Resident_40to44,1902043
3a,2019-20,Number,Resident_45to49,1954383
3a,2019-20,Number,Resident_50to54,2041405
3a,2019-20,Number,Resident_55to59,1952909
3a,2019-20,Number,Resident_60to64,1652547
3a,2019-20,Number,Resident_65to69,1459034
3a,2019-20,Number,Resident_70to74,1477503
3a,2019-20,Number,Resident_75to79,1079405
3a,2019-20,Number,Resident_<20,6661178
3a,2019-20,Number,Resident_>=80,1699137
3a,2019-20,Number,Resident_All_Ages,30442004
3a,2019-20,%,Tested_5yrs_plus_20to24,0.02575147
3a,2019-20,%,Tested_5yrs_plus_25to29,0.278424688
3a,2019-20,%,Tested_5yrs_plus_25to64,12.5544448
3a,2019-20,%,Tested_5yrs_plus_30to34,6.168329383
3a,2019-20,%,Tested_5yrs_plus_35to39,10.70233271
3a,2019-20,%,Tested_5yrs_plus_40to44,12.48788802
3a,2019-20,%,Tested_5yrs_plus_45to49,13.96420251
3a,2019-20,%,Tested_5yrs_plus_50to54,16.15725444
3a,2019-20,%,Tested_5yrs_plus_55to59,21.70213768
3a,2019-20,%,Tested_5yrs_plus_60to64,23.20442323
3a,2019-20,%,Tested_5yrs_plus_65to69,46.29371214
3a,2019-20,%,Tested_5yrs_plus_70to74,72.3193117
3a,2019-20,%,Tested_5yrs_plus_75to79,70.71229057
3a,2019-20,%,Tested_5yrs_plus_<20,1.50124E-05
3a,2019-20,%,Tested_5yrs_plus_>=80,68.70046382
3a,2019-20,%,Tested_5yrs_plus_All_Ages,18.72036742
3a,2019-20,%,Tested_<5yrs_20to24,1.864797072
3a,2019-20,%,Tested_<5yrs_25to29,64.23511236
3a,2019-20,%,Tested_<5yrs_25to64,71.68197445
3a,2019-20,%,Tested_<5yrs_30to34,75.27466918
3a,2019-20,%,Tested_<5yrs_35to39,77.53225878
3a,2019-20,%,Tested_<5yrs_40to44,78.68018757
3a,2019-20,%,Tested_<5yrs_45to49,77.63775064
3a,2019-20,%,Tested_<5yrs_50to54,73.61562257
3a,2019-20,%,Tested_<5yrs_55to59,65.09806653
3a,2019-20,%,Tested_<5yrs_60to64,59.30288216
3a,2019-20,%,Tested_<5yrs_65to69,31.23923089
3a,2019-20,%,Tested_<5yrs_70to74,0.899422878
3a,2019-20,%,Tested_<5yrs_75to79,0.212802424
3a,2019-20,%,Tested_<5yrs_<20,0.001636347
3a,2019-20,%,Tested_<5yrs_>=80,0.04873062
3a,2019-20,%,Tested_<5yrs_All_Ages,39.62909603
