Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Indicator,Unit,Value
25,2019-20,R4,East Midlands,CIN2_All_Ages,%,23.0263157894737000000
25,2019-20,R4,East Midlands,CIN1_All_Ages,%,10.1608187134503000000
25,2019-20,R4,East Midlands,HPV_cerv_All_Ages,%,5.6286549707602300000
25,2019-20,R4,East Midlands,NoCIN_NoHPV_All_Ages,%,8.1140350877193000000
25,2019-20,R4,East Midlands,Inad_biopsy_All_Ages,%,0.1461988304093570000
25,2019-20,R4,East Midlands,CIN_or_worse_All_Ages,%,86.1111111111111000000
25,2019-20,R5,West Midlands,Biopsies_reported_All_Ages,Number,1375
25,2019-20,R5,West Midlands,Biopsies_unknown_All_Ages,Number,3
25,2019-20,R5,West Midlands,Biopsies_known_All_Ages,Number,1372
25,2019-20,R5,West Midlands,Cancer_All_Ages,%,2.0408163265306100000
25,2019-20,R5,West Midlands,Adeno_in_situ_All_Ages,%,3.2798833819242000000
25,2019-20,R5,West Midlands,CIN3_All_Ages,%,46.2099125364431000000
25,2019-20,R5,West Midlands,CIN2_All_Ages,%,17.2011661807580000000
25,2019-20,R5,West Midlands,CIN1_All_Ages,%,11.8075801749271000000
25,2019-20,R5,West Midlands,HPV_cerv_All_Ages,%,6.1224489795918400000
25,2019-20,R5,West Midlands,NoCIN_NoHPV_All_Ages,%,13.0466472303207000000
25,2019-20,R5,West Midlands,Inad_biopsy_All_Ages,%,0.2915451895043730000
25,2019-20,R5,West Midlands,CIN_or_worse_All_Ages,%,80.5393586005831000000
25,2019-20,R6,East of England,Biopsies_reported_All_Ages,Number,1946
25,2019-20,R6,East of England,Biopsies_unknown_All_Ages,Number,0
25,2019-20,R6,East of England,Biopsies_known_All_Ages,Number,1946
25,2019-20,R6,East of England,Cancer_All_Ages,%,1.7985611510791400000
25,2019-20,R6,East of England,Adeno_in_situ_All_Ages,%,2.4152106885919800000
25,2019-20,R6,East of England,CIN3_All_Ages,%,44.2446043165468000000
25,2019-20,R6,East of England,CIN2_All_Ages,%,25.8478931140802000000
25,2019-20,R6,East of England,CIN1_All_Ages,%,12.8468653648510000000
25,2019-20,R6,East of England,HPV_cerv_All_Ages,%,3.2887975334018500000
25,2019-20,R6,East of England,NoCIN_NoHPV_All_Ages,%,9.2497430626927000000
25,2019-20,R6,East of England,Inad_biopsy_All_Ages,%,0.3083247687564230000
25,2019-20,R6,East of England,CIN_or_worse_All_Ages,%,87.1531346351490000000
25,2019-20,R7,London,Biopsies_reported_All_Ages,Number,2269
25,2019-20,R7,London,Biopsies_unknown_All_Ages,Number,1
25,2019-20,R7,London,Biopsies_known_All_Ages,Number,2268
25,2019-20,R7,London,Cancer_All_Ages,%,1.4109347442680800000
25,2019-20,R7,London,Adeno_in_situ_All_Ages,%,2.2486772486772500000
25,2019-20,R7,London,CIN3_All_Ages,%,35.8024691358025000000
25,2019-20,R7,London,CIN2_All_Ages,%,28.0423280423280000000
25,2019-20,R7,London,CIN1_All_Ages,%,13.9329805996473000000
25,2019-20,R7,London,HPV_cerv_All_Ages,%,5.5114638447971800000
25,2019-20,R7,London,NoCIN_NoHPV_All_Ages,%,13.0511463844797000000
25,2019-20,R7,London,Inad_biopsy_All_Ages,%,0.0000000000000000000
25,2019-20,R7,London,CIN_or_worse_All_Ages,%,81.4373897707231000000
25,2019-20,R8,South East,Biopsies_reported_All_Ages,Number,893
25,2019-20,R8,South East,Biopsies_unknown_All_Ages,Number,1
25,2019-20,R8,South East,Biopsies_known_All_Ages,Number,892
25,2019-20,R8,South East,Cancer_All_Ages,%,2.0179372197309400000
25,2019-20,R8,South East,Adeno_in_situ_All_Ages,%,3.3632286995515700000
25,2019-20,R8,South East,CIN3_All_Ages,%,46.3004484304933000000
25,2019-20,R8,South East,CIN2_All_Ages,%,23.8789237668161000000
25,2019-20,R8,South East,CIN1_All_Ages,%,12.8923766816144000000
25,2019-20,R8,South East,HPV_cerv_All_Ages,%,6.8385650224215300000
25,2019-20,R8,South East,NoCIN_NoHPV_All_Ages,%,4.4843049327354300000
25,2019-20,R8,South East,Inad_biopsy_All_Ages,%,0.2242152466367710000
25,2019-20,R8,South East,CIN_or_worse_All_Ages,%,88.4529147982063000000
25,2019-20,S,South,Biopsies_reported_All_Ages,Number,3615
25,2019-20,S,South,Biopsies_unknown_All_Ages,Number,2
25,2019-20,S,South,Biopsies_known_All_Ages,Number,3613
25,2019-20,S,South,Cancer_All_Ages,%,1.9928037641848900000
25,2019-20,S,South,Adeno_in_situ_All_Ages,%,2.8784943260448400000
25,2019-20,S,South,CIN3_All_Ages,%,45.2809299750900000000
25,2019-20,S,South,CIN2_All_Ages,%,24.1073899806255000000
25,2019-20,S,South,CIN1_All_Ages,%,12.6764461666205000000
25,2019-20,S,South,HPV_cerv_All_Ages,%,5.3141433711597000000
25,2019-20,S,South,NoCIN_NoHPV_All_Ages,%,7.4730141156933300000
25,2019-20,S,South,Inad_biopsy_All_Ages,%,0.2767783005812340000
25,2019-20,S,South,CIN_or_worse_All_Ages,%,86.9360642125657000000
