Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Clinic_Name,Unit,Indicator,Value
26b,2019-20,R1,North East,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,%,NonDiagBiop_CINorWorse_All_Ages,92.5000000000000000000
26b,2019-20,R1,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,Number,All_referrals_All_Ages,1353
26b,2019-20,R1,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,%,No_procedure_All_Ages,63.9320029563932000000
26b,2019-20,R1,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,%,Procedure_used_All_Ages,36.0679970436068000000
26b,2019-20,R1,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,%,Diagnostic_biopsy_All_Ages,23.0598669623060000000
26b,2019-20,R1,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,%,Excision_All_Ages,10.5691056910569000000
26b,2019-20,R1,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,%,Other_All_Ages,2.4390243902439000000
26b,2019-20,R1,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,%,Biopsy_informed_within8wks_All_Ages,99.5689655172414000000
26b,2019-20,R1,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,%,NonDiagBiop_CINorWorse_All_Ages,92.5000000000000000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Hexham General Hospital,Number,All_referrals_All_Ages,127
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Hexham General Hospital,%,No_procedure_All_Ages,34.6456692913386000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Hexham General Hospital,%,Procedure_used_All_Ages,65.3543307086614000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Hexham General Hospital,%,Diagnostic_biopsy_All_Ages,58.2677165354331000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Hexham General Hospital,%,Excision_All_Ages,7.0866141732283500000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Hexham General Hospital,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Hexham General Hospital,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Hexham General Hospital,%,Other_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Hexham General Hospital,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Hexham General Hospital,%,Biopsy_informed_within8wks_All_Ages,96.3636363636364000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Hexham General Hospital,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Hexham General Hospital,%,NonDiagBiop_CINorWorse_All_Ages,92.5000000000000000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,North Tyneside General Hospital,Number,All_referrals_All_Ages,493
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,North Tyneside General Hospital,%,No_procedure_All_Ages,24.3407707910751000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,North Tyneside General Hospital,%,Procedure_used_All_Ages,75.6592292089250000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,North Tyneside General Hospital,%,Diagnostic_biopsy_All_Ages,68.3569979716024000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,North Tyneside General Hospital,%,Excision_All_Ages,7.0993914807302200000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,North Tyneside General Hospital,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,North Tyneside General Hospital,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,North Tyneside General Hospital,%,Other_All_Ages,0.2028397565922920000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,North Tyneside General Hospital,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,North Tyneside General Hospital,%,Biopsy_informed_within8wks_All_Ages,98.6046511627907000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,North Tyneside General Hospital,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,North Tyneside General Hospital,%,NonDiagBiop_CINorWorse_All_Ages,92.5000000000000000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Wansbeck General Hospital,Number,All_referrals_All_Ages,637
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Wansbeck General Hospital,%,No_procedure_All_Ages,20.2511773940345000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Wansbeck General Hospital,%,Procedure_used_All_Ages,79.7488226059655000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Wansbeck General Hospital,%,Diagnostic_biopsy_All_Ages,72.3704866562009000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Wansbeck General Hospital,%,Excision_All_Ages,7.0643642072213500000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Wansbeck General Hospital,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Wansbeck General Hospital,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Wansbeck General Hospital,%,Other_All_Ages,0.3139717425431710000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Wansbeck General Hospital,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Wansbeck General Hospital,%,Biopsy_informed_within8wks_All_Ages,97.9381443298969000000
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Wansbeck General Hospital,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,RTF,Northumbria Healthcare NHS Foundation Trust,Wansbeck General Hospital,%,NonDiagBiop_CINorWorse_All_Ages,95.0000000000000000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,Friarage Hospital,Number,All_referrals_All_Ages,205
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,Friarage Hospital,%,No_procedure_All_Ages,24.3902439024390000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,Friarage Hospital,%,Procedure_used_All_Ages,75.6097560975610000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,Friarage Hospital,%,Diagnostic_biopsy_All_Ages,52.6829268292683000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,Friarage Hospital,%,Excision_All_Ages,22.9268292682927000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,Friarage Hospital,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,Friarage Hospital,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,Friarage Hospital,%,Other_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,Friarage Hospital,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,Friarage Hospital,%,Biopsy_informed_within8wks_All_Ages,100.0000000000000000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,Friarage Hospital,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,Friarage Hospital,%,NonDiagBiop_CINorWorse_All_Ages,92.5000000000000000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital,Number,All_referrals_All_Ages,681
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital,%,No_procedure_All_Ages,23.0543318649046000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital,%,Procedure_used_All_Ages,76.9456681350954000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital,%,Diagnostic_biopsy_All_Ages,53.8913362701909000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital,%,Excision_All_Ages,23.0543318649046000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital,%,Other_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital,%,Biopsy_informed_within8wks_All_Ages,99.6078431372549000000
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,RTR,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital,%,NonDiagBiop_CINorWorse_All_Ages,90.0000000000000000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of Hartlepool,Number,All_referrals_All_Ages,434
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of Hartlepool,%,No_procedure_All_Ages,27.8801843317972000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of Hartlepool,%,Procedure_used_All_Ages,72.1198156682028000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of Hartlepool,%,Diagnostic_biopsy_All_Ages,48.1566820276498000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of Hartlepool,%,Excision_All_Ages,23.9631336405530000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of Hartlepool,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of Hartlepool,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of Hartlepool,%,Other_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of Hartlepool,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of Hartlepool,%,Biopsy_informed_within8wks_All_Ages,99.4285714285714000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of Hartlepool,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of Hartlepool,%,NonDiagBiop_CINorWorse_All_Ages,87.5000000000000000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of North Tees,Number,All_referrals_All_Ages,194
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of North Tees,%,No_procedure_All_Ages,30.4123711340206000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of North Tees,%,Procedure_used_All_Ages,69.5876288659794000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of North Tees,%,Diagnostic_biopsy_All_Ages,50.0000000000000000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of North Tees,%,Excision_All_Ages,19.5876288659794000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of North Tees,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of North Tees,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of North Tees,%,Other_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of North Tees,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of North Tees,%,Biopsy_informed_within8wks_All_Ages,98.7951807228916000000
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of North Tees,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,University Hospital of North Tees,%,NonDiagBiop_CINorWorse_All_Ages,77.5000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,Number,All_referrals_All_Ages,559
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,%,No_procedure_All_Ages,34.7048300536673000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,%,Procedure_used_All_Ages,65.2951699463327000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,%,Diagnostic_biopsy_All_Ages,61.0017889087657000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,%,Excision_All_Ages,4.2933810375670800000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,%,Other_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,%,Biopsy_informed_within8wks_All_Ages,99.3865030674847000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,%,NonDiagBiop_CINorWorse_All_Ages,95.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,Number,All_referrals_All_Ages,340
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,%,No_procedure_All_Ages,29.1176470588235000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,%,Procedure_used_All_Ages,70.8823529411765000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,%,Diagnostic_biopsy_All_Ages,66.4705882352941000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,%,Excision_All_Ages,4.4117647058823500000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,%,Other_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,%,Biopsy_informed_within8wks_All_Ages,97.5806451612903000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,%,NonDiagBiop_CINorWorse_All_Ages,95.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,Number,All_referrals_All_Ages,460
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,%,No_procedure_All_Ages,28.0434782608696000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,%,Procedure_used_All_Ages,71.9565217391304000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,%,Diagnostic_biopsy_All_Ages,67.6086956521739000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,%,Excision_All_Ages,4.3478260869565200000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,%,Other_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,%,Total_Biopsies_Informed_All_Ages,-3.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,%,Biopsy_informed_within8wks_All_Ages,100.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,Number,NonDiagBiop_Number_Cases_All_Ages,-3
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,%,NonDiagBiop_CINorWorse_All_Ages,97.5000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,Number,All_referrals_All_Ages,17
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,%,No_procedure_All_Ages,11.7647058823529000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,%,Procedure_used_All_Ages,88.2352941176471000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,%,Diagnostic_biopsy_All_Ages,82.3529411764706000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,%,Excision_All_Ages,5.8823529411764700000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,%,Ablation_without_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,%,Ablation_with_biopsy_All_Ages,0.0000000000000000000
26b,2019-20,R1,North East,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,%,Other_All_Ages,0.0000000000000000000
