Table_ref,Collection_Year,Sample_Reg_Year,Parent_Org_Code,Parent_Org_Name,Unit,Indicator,Value
18,2019-20,2018-19,R3,Yorkshire and the Humber,Number,7/4/5/6 result_CIN2_All_Ages,862
18,2019-20,2018-19,R3,Yorkshire and the Humber,Number,7/4/5/6 result_CIN3_And_Adeno_All_Ages,2179
18,2019-20,2018-19,R3,Yorkshire and the Humber,Number,7/4/5/6 result_Cervical_cancer_All_Ages,98
18,2019-20,2018-19,R3,Yorkshire and the Humber,Number,7/4/5/6 result_HPV_only_All_Ages,89
18,2019-20,2018-19,R3,Yorkshire and the Humber,Number,7/4/5/6 result_Inadequate_biopsy_All_Ages,27
18,2019-20,2018-19,R3,Yorkshire and the Humber,Number,7/4/5/6 result_No_CIN_No_HPV_All_Ages,203
18,2019-20,2018-19,R3,Yorkshire and the Humber,Number,7/4/5/6 result_Non_cerv_cancer_All_Ages,4
18,2019-20,2018-19,R3,Yorkshire and the Humber,Number,7/4/5/6 result_Seen_Colp_NAD_All_Ages,26
18,2019-20,2018-19,R3,Yorkshire and the Humber,Number,7/4/5/6 result_Seen_Colp_result_n/k_All_Ages,5
18,2019-20,2018-19,R3,Yorkshire and the Humber,Number,7/4/5/6 result_Total_all_results_All_Ages,3796
18,2019-20,2018-19,R4,East Midlands,Number,7/4/5/6 result_CIN1_All_Ages,213
18,2019-20,2018-19,R4,East Midlands,Number,7/4/5/6 result_CIN2_All_Ages,507
18,2019-20,2018-19,R4,East Midlands,Number,7/4/5/6 result_CIN3_And_Adeno_All_Ages,1748
18,2019-20,2018-19,R4,East Midlands,Number,7/4/5/6 result_Cervical_cancer_All_Ages,112
18,2019-20,2018-19,R4,East Midlands,Number,7/4/5/6 result_HPV_only_All_Ages,79
18,2019-20,2018-19,R4,East Midlands,Number,7/4/5/6 result_Inadequate_biopsy_All_Ages,2
18,2019-20,2018-19,R4,East Midlands,Number,7/4/5/6 result_No_CIN_No_HPV_All_Ages,79
18,2019-20,2018-19,R4,East Midlands,Number,7/4/5/6 result_Non_cerv_cancer_All_Ages,0
18,2019-20,2018-19,R4,East Midlands,Number,7/4/5/6 result_Seen_Colp_NAD_All_Ages,41
18,2019-20,2018-19,R4,East Midlands,Number,7/4/5/6 result_Seen_Colp_result_n/k_All_Ages,1
18,2019-20,2018-19,R4,East Midlands,Number,7/4/5/6 result_Total_all_results_All_Ages,2852
18,2019-20,2018-19,R5,West Midlands,Number,7/4/5/6 result_CIN1_All_Ages,210
18,2019-20,2018-19,R5,West Midlands,Number,7/4/5/6 result_CIN2_All_Ages,559
18,2019-20,2018-19,R5,West Midlands,Number,7/4/5/6 result_CIN3_And_Adeno_All_Ages,1817
18,2019-20,2018-19,R5,West Midlands,Number,7/4/5/6 result_Cervical_cancer_All_Ages,129
18,2019-20,2018-19,R5,West Midlands,Number,7/4/5/6 result_HPV_only_All_Ages,80
18,2019-20,2018-19,R5,West Midlands,Number,7/4/5/6 result_Inadequate_biopsy_All_Ages,13
18,2019-20,2018-19,R5,West Midlands,Number,7/4/5/6 result_No_CIN_No_HPV_All_Ages,80
18,2019-20,2018-19,R5,West Midlands,Number,7/4/5/6 result_Non_cerv_cancer_All_Ages,1
18,2019-20,2018-19,R5,West Midlands,Number,7/4/5/6 result_Seen_Colp_NAD_All_Ages,65
18,2019-20,2018-19,R5,West Midlands,Number,7/4/5/6 result_Seen_Colp_result_n/k_All_Ages,2
18,2019-20,2018-19,R5,West Midlands,Number,7/4/5/6 result_Total_all_results_All_Ages,3006
18,2019-20,2018-19,R6,East of England,Number,7/4/5/6 result_CIN1_All_Ages,493
18,2019-20,2018-19,R6,East of England,Number,7/4/5/6 result_CIN2_All_Ages,962
18,2019-20,2018-19,R6,East of England,Number,7/4/5/6 result_CIN3_And_Adeno_All_Ages,2223
18,2019-20,2018-19,R6,East of England,Number,7/4/5/6 result_Cervical_cancer_All_Ages,99
18,2019-20,2018-19,R6,East of England,Number,7/4/5/6 result_HPV_only_All_Ages,136
18,2019-20,2018-19,R6,East of England,Number,7/4/5/6 result_Inadequate_biopsy_All_Ages,19
18,2019-20,2018-19,R6,East of England,Number,7/4/5/6 result_No_CIN_No_HPV_All_Ages,110
18,2019-20,2018-19,R6,East of England,Number,7/4/5/6 result_Non_cerv_cancer_All_Ages,2
18,2019-20,2018-19,R6,East of England,Number,7/4/5/6 result_Seen_Colp_NAD_All_Ages,61
18,2019-20,2018-19,R6,East of England,Number,7/4/5/6 result_Seen_Colp_result_n/k_All_Ages,5
18,2019-20,2018-19,R6,East of England,Number,7/4/5/6 result_Total_all_results_All_Ages,4209
18,2019-20,2018-19,R7,London,Number,7/4/5/6 result_CIN1_All_Ages,499
18,2019-20,2018-19,R7,London,Number,7/4/5/6 result_CIN2_All_Ages,1091
18,2019-20,2018-19,R7,London,Number,7/4/5/6 result_CIN3_And_Adeno_All_Ages,1974
18,2019-20,2018-19,R7,London,Number,7/4/5/6 result_Cervical_cancer_All_Ages,109
18,2019-20,2018-19,R7,London,Number,7/4/5/6 result_HPV_only_All_Ages,164
18,2019-20,2018-19,R7,London,Number,7/4/5/6 result_Inadequate_biopsy_All_Ages,21
18,2019-20,2018-19,R7,London,Number,7/4/5/6 result_No_CIN_No_HPV_All_Ages,116
18,2019-20,2018-19,R7,London,Number,7/4/5/6 result_Non_cerv_cancer_All_Ages,1
18,2019-20,2018-19,R7,London,Number,7/4/5/6 result_Seen_Colp_NAD_All_Ages,84
18,2019-20,2018-19,R7,London,Number,7/4/5/6 result_Seen_Colp_result_n/k_All_Ages,20
18,2019-20,2018-19,R7,London,Number,7/4/5/6 result_Total_all_results_All_Ages,4160
18,2019-20,2018-19,S,South,Number,7/4/5/6 result_CIN1_All_Ages,858
18,2019-20,2018-19,S,South,Number,7/4/5/6 result_CIN2_All_Ages,2092
18,2019-20,2018-19,S,South,Number,7/4/5/6 result_CIN3_And_Adeno_All_Ages,5190
18,2019-20,2018-19,S,South,Number,7/4/5/6 result_Cervical_cancer_All_Ages,301
18,2019-20,2018-19,S,South,Number,7/4/5/6 result_HPV_only_All_Ages,224
18,2019-20,2018-19,S,South,Number,7/4/5/6 result_Inadequate_biopsy_All_Ages,34
18,2019-20,2018-19,S,South,Number,7/4/5/6 result_No_CIN_No_HPV_All_Ages,217
18,2019-20,2018-19,S,South,Number,7/4/5/6 result_Non_cerv_cancer_All_Ages,8
18,2019-20,2018-19,S,South,Number,7/4/5/6 result_Seen_Colp_NAD_All_Ages,118
18,2019-20,2018-19,S,South,Number,7/4/5/6 result_Seen_Colp_result_n/k_All_Ages,35
18,2019-20,2018-19,S,South,Number,7/4/5/6 result_Total_all_results_All_Ages,9205
