Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_ONS_Code,Org_Name,Unit,Indicator,Value
12,2019-20,A,North East,00EB,E06000001,Hartlepool,%,Moderate_dyskaryosis_25to64,0.661720473
12,2019-20,A,North East,00EB,E06000001,Hartlepool,%,Negative_25to64,94.46561059
12,2019-20,A,North East,00EB,E06000001,Hartlepool,%,Severe_dyskaryosis_or_worse_25to64,0.862241829
12,2019-20,A,North East,00EC,E06000002,Middlesbrough,Number,Eligible_Population_25to64,38174
12,2019-20,A,North East,00EC,E06000002,Middlesbrough,Number,Number_Screened_25to64,7433
12,2019-20,A,North East,00EC,E06000002,Middlesbrough,%,Borderline_changes_25to64,2.448540293
12,2019-20,A,North East,00EC,E06000002,Middlesbrough,%,Low_Grade_dyskaryosis_25to64,1.506794027
12,2019-20,A,North East,00EC,E06000002,Middlesbrough,%,Moderate_dyskaryosis_25to64,0.457419615
12,2019-20,A,North East,00EC,E06000002,Middlesbrough,%,Negative_25to64,94.87420961
12,2019-20,A,North East,00EC,E06000002,Middlesbrough,%,Severe_dyskaryosis_or_worse_25to64,0.713036459
12,2019-20,A,North East,00EE,E06000003,Redcar and Cleveland,Number,Eligible_Population_25to64,34540
12,2019-20,A,North East,00EE,E06000003,Redcar and Cleveland,Number,Number_Screened_25to64,7432
12,2019-20,A,North East,00EE,E06000003,Redcar and Cleveland,%,Borderline_changes_25to64,2.206673843
12,2019-20,A,North East,00EE,E06000003,Redcar and Cleveland,%,Low_Grade_dyskaryosis_25to64,1.681916039
12,2019-20,A,North East,00EE,E06000003,Redcar and Cleveland,%,Moderate_dyskaryosis_25to64,0.632400431
12,2019-20,A,North East,00EE,E06000003,Redcar and Cleveland,%,Negative_25to64,94.67168999
12,2019-20,A,North East,00EE,E06000003,Redcar and Cleveland,%,Severe_dyskaryosis_or_worse_25to64,0.807319699
12,2019-20,A,North East,00EF,E06000004,Stockton-on-Tees,Number,Eligible_Population_25to64,50657
12,2019-20,A,North East,00EF,E06000004,Stockton-on-Tees,Number,Number_Screened_25to64,10821
12,2019-20,A,North East,00EF,E06000004,Stockton-on-Tees,%,Borderline_changes_25to64,2.411976712
12,2019-20,A,North East,00EF,E06000004,Stockton-on-Tees,%,Low_Grade_dyskaryosis_25to64,1.487847704
12,2019-20,A,North East,00EF,E06000004,Stockton-on-Tees,%,Moderate_dyskaryosis_25to64,0.665372886
12,2019-20,A,North East,00EF,E06000004,Stockton-on-Tees,%,Negative_25to64,94.78791239
12,2019-20,A,North East,00EF,E06000004,Stockton-on-Tees,%,Severe_dyskaryosis_or_worse_25to64,0.646890306
12,2019-20,A,North East,00EH,E06000005,Darlington,Number,Eligible_Population_25to64,27556
12,2019-20,A,North East,00EH,E06000005,Darlington,Number,Number_Screened_25to64,6268
12,2019-20,A,North East,00EH,E06000005,Darlington,%,Borderline_changes_25to64,3.158902361
12,2019-20,A,North East,00EH,E06000005,Darlington,%,Low_Grade_dyskaryosis_25to64,2.664326739
12,2019-20,A,North East,00EH,E06000005,Darlington,%,Moderate_dyskaryosis_25to64,0.717932355
12,2019-20,A,North East,00EH,E06000005,Darlington,%,Negative_25to64,92.8047224
12,2019-20,A,North East,00EH,E06000005,Darlington,%,Severe_dyskaryosis_or_worse_25to64,0.654116146
12,2019-20,A,North East,00EJ,E06000047,County Durham,Number,Eligible_Population_25to64,132467
12,2019-20,A,North East,00EJ,E06000047,County Durham,Number,Number_Screened_25to64,28181
12,2019-20,A,North East,00EJ,E06000047,County Durham,%,Borderline_changes_25to64,3.605265959
12,2019-20,A,North East,00EJ,E06000047,County Durham,%,Low_Grade_dyskaryosis_25to64,2.693303999
12,2019-20,A,North East,00EJ,E06000047,County Durham,%,Moderate_dyskaryosis_25to64,0.716795004
12,2019-20,A,North East,00EJ,E06000047,County Durham,%,Negative_25to64,92.26784003
12,2019-20,A,North East,00EJ,E06000047,County Durham,%,Severe_dyskaryosis_or_worse_25to64,0.716795004
12,2019-20,A,North East,00EM,E06000057,Northumberland,Number,Eligible_Population_25to64,78902
12,2019-20,A,North East,00EM,E06000057,Northumberland,Number,Number_Screened_25to64,17051
12,2019-20,A,North East,00EM,E06000057,Northumberland,%,Borderline_changes_25to64,2.779895607
12,2019-20,A,North East,00EM,E06000057,Northumberland,%,Low_Grade_dyskaryosis_25to64,2.164095947
12,2019-20,A,North East,00EM,E06000057,Northumberland,%,Moderate_dyskaryosis_25to64,0.486774969
12,2019-20,A,North East,00EM,E06000057,Northumberland,%,Negative_25to64,93.59568354
12,2019-20,A,North East,00EM,E06000057,Northumberland,%,Severe_dyskaryosis_or_worse_25to64,0.973549938
12,2019-20,A,North East,A,A,North East,Number,Eligible_Population_25to64,687505
12,2019-20,A,North East,A,A,North East,Number,Number_Screened_25to64,147140
12,2019-20,A,North East,A,A,North East,%,Borderline_changes_25to64,2.90947397
12,2019-20,A,North East,A,A,North East,%,Low_Grade_dyskaryosis_25to64,2.113633274
12,2019-20,A,North East,A,A,North East,%,Moderate_dyskaryosis_25to64,0.678945222
12,2019-20,A,North East,A,A,North East,%,Negative_25to64,93.51366046
12,2019-20,A,North East,A,A,North East,%,Severe_dyskaryosis_or_worse_25to64,0.784287074
12,2019-20,B,North West,00BL,E08000001,Bolton,Number,Eligible_Population_25to64,77927
12,2019-20,B,North West,00BL,E08000001,Bolton,Number,Number_Screened_25to64,16391
12,2019-20,B,North West,00BL,E08000001,Bolton,%,Borderline_changes_25to64,0.878530901
12,2019-20,B,North West,00BL,E08000001,Bolton,%,Low_Grade_dyskaryosis_25to64,2.184125435
12,2019-20,B,North West,00BL,E08000001,Bolton,%,Moderate_dyskaryosis_25to64,0.536879995
12,2019-20,B,North West,00BL,E08000001,Bolton,%,Negative_25to64,95.77207004
12,2019-20,B,North West,00BL,E08000001,Bolton,%,Severe_dyskaryosis_or_worse_25to64,0.628393631
12,2019-20,B,North West,00BM,E08000002,Bury,Number,Eligible_Population_25to64,52319
12,2019-20,B,North West,00BM,E08000002,Bury,Number,Number_Screened_25to64,10897
12,2019-20,B,North West,00BM,E08000002,Bury,%,Borderline_changes_25to64,0.568963935
12,2019-20,B,North West,00BM,E08000002,Bury,%,Low_Grade_dyskaryosis_25to64,1.752775993
12,2019-20,B,North West,00BM,E08000002,Bury,%,Moderate_dyskaryosis_25to64,0.449665045
12,2019-20,B,North West,00BM,E08000002,Bury,%,Negative_25to64,96.5403322
12,2019-20,B,North West,00BM,E08000002,Bury,%,Severe_dyskaryosis_or_worse_25to64,0.688262825
12,2019-20,B,North West,00BN,E08000003,Manchester,Number,Eligible_Population_25to64,163875
12,2019-20,B,North West,00BN,E08000003,Manchester,Number,Number_Screened_25to64,32717
12,2019-20,B,North West,00BN,E08000003,Manchester,%,Borderline_changes_25to64,0.962802213
12,2019-20,B,North West,00BN,E08000003,Manchester,%,Low_Grade_dyskaryosis_25to64,2.42075985
12,2019-20,B,North West,00BN,E08000003,Manchester,%,Moderate_dyskaryosis_25to64,0.537946633
12,2019-20,B,North West,00BN,E08000003,Manchester,%,Negative_25to64,95.38771892
12,2019-20,B,North West,00BN,E08000003,Manchester,%,Severe_dyskaryosis_or_worse_25to64,0.690772381
12,2019-20,B,North West,00BP,E08000004,Oldham,Number,Eligible_Population_25to64,62116
12,2019-20,B,North West,00BP,E08000004,Oldham,Number,Number_Screened_25to64,12685
12,2019-20,B,North West,00BP,E08000004,Oldham,%,Borderline_changes_25to64,0.607016161
12,2019-20,B,North West,00BP,E08000004,Oldham,%,Low_Grade_dyskaryosis_25to64,1.718565235
12,2019-20,B,North West,00BP,E08000004,Oldham,%,Moderate_dyskaryosis_25to64,0.417816318
12,2019-20,B,North West,00BP,E08000004,Oldham,%,Negative_25to64,96.57075286
12,2019-20,B,North West,00BP,E08000004,Oldham,%,Severe_dyskaryosis_or_worse_25to64,0.685849428
12,2019-20,B,North West,00BQ,E08000005,Rochdale,Number,Eligible_Population_25to64,59557
12,2019-20,B,North West,00BQ,E08000005,Rochdale,Number,Number_Screened_25to64,12642
12,2019-20,B,North West,00BQ,E08000005,Rochdale,%,Borderline_changes_25to64,0.59326056
12,2019-20,B,North West,00BQ,E08000005,Rochdale,%,Low_Grade_dyskaryosis_25to64,1.756051258
12,2019-20,B,North West,00BQ,E08000005,Rochdale,%,Moderate_dyskaryosis_25to64,0.419237462
12,2019-20,B,North West,00BQ,E08000005,Rochdale,%,Negative_25to64,96.45625692
12,2019-20,B,North West,00BQ,E08000005,Rochdale,%,Severe_dyskaryosis_or_worse_25to64,0.775193798
12,2019-20,B,North West,00BR,E08000006,Salford,Number,Eligible_Population_25to64,73198
12,2019-20,B,North West,00BR,E08000006,Salford,Number,Number_Screened_25to64,15057
12,2019-20,B,North West,00BR,E08000006,Salford,%,Borderline_changes_25to64,0.777047221
12,2019-20,B,North West,00BR,E08000006,Salford,%,Low_Grade_dyskaryosis_25to64,2.483894534
12,2019-20,B,North West,00BR,E08000006,Salford,%,Moderate_dyskaryosis_25to64,0.551238627
12,2019-20,B,North West,00BR,E08000006,Salford,%,Negative_25to64,95.23809524
12,2019-20,B,North West,00BR,E08000006,Salford,%,Severe_dyskaryosis_or_worse_25to64,0.949724381
12,2019-20,B,North West,00BS,E08000007,Stockport,Number,Eligible_Population_25to64,79389
12,2019-20,B,North West,00BS,E08000007,Stockport,Number,Number_Screened_25to64,18627
12,2019-20,B,North West,00BS,E08000007,Stockport,%,Borderline_changes_25to64,0.950233532
12,2019-20,B,North West,00BS,E08000007,Stockport,%,Low_Grade_dyskaryosis_25to64,2.013206636
12,2019-20,B,North West,00BS,E08000007,Stockport,%,Moderate_dyskaryosis_25to64,0.456326837
12,2019-20,B,North West,00BS,E08000007,Stockport,%,Negative_25to64,95.93063832
12,2019-20,B,North West,00BS,E08000007,Stockport,%,Severe_dyskaryosis_or_worse_25to64,0.649594674
12,2019-20,B,North West,00BT,E08000008,Tameside,Number,Eligible_Population_25to64,61603
12,2019-20,B,North West,00BT,E08000008,Tameside,Number,Number_Screened_25to64,13643
12,2019-20,B,North West,00BT,E08000008,Tameside,%,Borderline_changes_25to64,0.740306384
12,2019-20,B,North West,00BT,E08000008,Tameside,%,Low_Grade_dyskaryosis_25to64,1.737154585
12,2019-20,B,North West,00BT,E08000008,Tameside,%,Moderate_dyskaryosis_25to64,0.461775269
12,2019-20,B,North West,00BT,E08000008,Tameside,%,Negative_25to64,96.37909551
12,2019-20,B,North West,00BT,E08000008,Tameside,%,Severe_dyskaryosis_or_worse_25to64,0.681668255
12,2019-20,B,North West,00BU,E08000009,Trafford,Number,Eligible_Population_25to64,65414
12,2019-20,B,North West,00BU,E08000009,Trafford,Number,Number_Screened_25to64,15204
12,2019-20,B,North West,00BU,E08000009,Trafford,%,Borderline_changes_25to64,0.868192581
12,2019-20,B,North West,00BU,E08000009,Trafford,%,Low_Grade_dyskaryosis_25to64,2.065245988
12,2019-20,B,North West,00BU,E08000009,Trafford,%,Moderate_dyskaryosis_25to64,0.381478558
12,2019-20,B,North West,00BU,E08000009,Trafford,%,Negative_25to64,96.15232833
12,2019-20,B,North West,00BU,E08000009,Trafford,%,Severe_dyskaryosis_or_worse_25to64,0.532754538
12,2019-20,B,North West,00BW,E08000010,Wigan,Number,Eligible_Population_25to64,82794
12,2019-20,B,North West,00BW,E08000010,Wigan,Number,Number_Screened_25to64,18800
12,2019-20,B,North West,00BW,E08000010,Wigan,%,Borderline_changes_25to64,0.984042553
12,2019-20,B,North West,00BW,E08000010,Wigan,%,Low_Grade_dyskaryosis_25to64,2.042553191
12,2019-20,B,North West,00BW,E08000010,Wigan,%,Moderate_dyskaryosis_25to64,0.494680851
12,2019-20,B,North West,00BW,E08000010,Wigan,%,Negative_25to64,95.64893617
12,2019-20,B,North West,00BW,E08000010,Wigan,%,Severe_dyskaryosis_or_worse_25to64,0.829787234
12,2019-20,B,North West,00BX,E08000011,Knowsley,Number,Eligible_Population_25to64,43038
12,2019-20,B,North West,00BX,E08000011,Knowsley,Number,Number_Screened_25to64,9183
12,2019-20,B,North West,00BX,E08000011,Knowsley,%,Borderline_changes_25to64,1.230534684
12,2019-20,B,North West,00BX,E08000011,Knowsley,%,Low_Grade_dyskaryosis_25to64,2.330393118
12,2019-20,B,North West,00BX,E08000011,Knowsley,%,Moderate_dyskaryosis_25to64,0.620712186
12,2019-20,B,North West,00BX,E08000011,Knowsley,%,Negative_25to64,94.92540564
12,2019-20,B,North West,00BX,E08000011,Knowsley,%,Severe_dyskaryosis_or_worse_25to64,0.892954372
12,2019-20,B,North West,00BY,E08000012,Liverpool,Number,Eligible_Population_25to64,135308
12,2019-20,B,North West,00BY,E08000012,Liverpool,Number,Number_Screened_25to64,27791
12,2019-20,B,North West,00BY,E08000012,Liverpool,%,Borderline_changes_25to64,1.219819366
12,2019-20,B,North West,00BY,E08000012,Liverpool,%,Low_Grade_dyskaryosis_25to64,2.961390378
12,2019-20,B,North West,00BY,E08000012,Liverpool,%,Moderate_dyskaryosis_25to64,0.705264294
12,2019-20,B,North West,00BY,E08000012,Liverpool,%,Negative_25to64,94.22834731
12,2019-20,B,North West,00BY,E08000012,Liverpool,%,Severe_dyskaryosis_or_worse_25to64,0.885178655
12,2019-20,B,North West,00BZ,E08000013,St. Helens,Number,Eligible_Population_25to64,46597
12,2019-20,B,North West,00BZ,E08000013,St. Helens,Number,Number_Screened_25to64,9933
12,2019-20,B,North West,00BZ,E08000013,St. Helens,%,Borderline_changes_25to64,1.369173462
12,2019-20,B,North West,00BZ,E08000013,St. Helens,%,Low_Grade_dyskaryosis_25to64,2.003422934
12,2019-20,B,North West,00BZ,E08000013,St. Helens,%,Moderate_dyskaryosis_25to64,0.382563173
12,2019-20,B,North West,00BZ,E08000013,St. Helens,%,Negative_25to64,95.43944428
12,2019-20,B,North West,00BZ,E08000013,St. Helens,%,Severe_dyskaryosis_or_worse_25to64,0.805396154
12,2019-20,B,North West,00CA,E08000014,Sefton,Number,Eligible_Population_25to64,72235
12,2019-20,B,North West,00CA,E08000014,Sefton,Number,Number_Screened_25to64,15287
12,2019-20,B,North West,00CA,E08000014,Sefton,%,Borderline_changes_25to64,0.778439197
12,2019-20,B,North West,00CA,E08000014,Sefton,%,Low_Grade_dyskaryosis_25to64,2.780139988
12,2019-20,B,North West,00CA,E08000014,Sefton,%,Moderate_dyskaryosis_25to64,0.693399621
12,2019-20,B,North West,00CA,E08000014,Sefton,%,Negative_25to64,95.10695362
12,2019-20,B,North West,00CA,E08000014,Sefton,%,Severe_dyskaryosis_or_worse_25to64,0.641067574
12,2019-20,B,North West,00CB,E08000015,Wirral,Number,Eligible_Population_25to64,83935
12,2019-20,B,North West,00CB,E08000015,Wirral,Number,Number_Screened_25to64,17162
12,2019-20,B,North West,00CB,E08000015,Wirral,%,Borderline_changes_25to64,0.8507167
12,2019-20,B,North West,00CB,E08000015,Wirral,%,Low_Grade_dyskaryosis_25to64,1.835450414
12,2019-20,B,North West,00CB,E08000015,Wirral,%,Moderate_dyskaryosis_25to64,0.314648642
12,2019-20,B,North West,00CB,E08000015,Wirral,%,Negative_25to64,96.40484792
12,2019-20,B,North West,00CB,E08000015,Wirral,%,Severe_dyskaryosis_or_worse_25to64,0.594336324
12,2019-20,B,North West,00EQ,E06000049,Cheshire East,Number,Eligible_Population_25to64,101572
12,2019-20,B,North West,00EQ,E06000049,Cheshire East,Number,Number_Screened_25to64,21727
12,2019-20,B,North West,00EQ,E06000049,Cheshire East,%,Borderline_changes_25to64,1.721360519
12,2019-20,B,North West,00EQ,E06000049,Cheshire East,%,Low_Grade_dyskaryosis_25to64,2.025130023
12,2019-20,B,North West,00EQ,E06000049,Cheshire East,%,Moderate_dyskaryosis_25to64,0.289961799
12,2019-20,B,North West,00EQ,E06000049,Cheshire East,%,Negative_25to64,95.3053804
12,2019-20,B,North West,00EQ,E06000049,Cheshire East,%,Severe_dyskaryosis_or_worse_25to64,0.658167257
12,2019-20,B,North West,00ET,E06000006,Halton,Number,Eligible_Population_25to64,34495
12,2019-20,B,North West,00ET,E06000006,Halton,Number,Number_Screened_25to64,6989
12,2019-20,B,North West,00ET,E06000006,Halton,%,Borderline_changes_25to64,1.287737874
12,2019-20,B,North West,00ET,E06000006,Halton,%,Low_Grade_dyskaryosis_25to64,2.189154385
12,2019-20,B,North West,00ET,E06000006,Halton,%,Moderate_dyskaryosis_25to64,0.457862355
12,2019-20,B,North West,00ET,E06000006,Halton,%,Negative_25to64,95.22106167
12,2019-20,B,North West,00ET,E06000006,Halton,%,Severe_dyskaryosis_or_worse_25to64,0.844183717
12,2019-20,B,North West,00EU,E06000007,Warrington,Number,Eligible_Population_25to64,56702
12,2019-20,B,North West,00EU,E06000007,Warrington,Number,Number_Screened_25to64,12260
12,2019-20,B,North West,00EU,E06000007,Warrington,%,Borderline_changes_25to64,1.411092985
12,2019-20,B,North West,00EU,E06000007,Warrington,%,Low_Grade_dyskaryosis_25to64,2.088091354
12,2019-20,B,North West,00EU,E06000007,Warrington,%,Moderate_dyskaryosis_25to64,0.358890701
12,2019-20,B,North West,00EU,E06000007,Warrington,%,Negative_25to64,95.57096248
12,2019-20,B,North West,00EU,E06000007,Warrington,%,Severe_dyskaryosis_or_worse_25to64,0.57096248
12,2019-20,B,North West,00EW,E06000050,Cheshire West and Chester,Number,Eligible_Population_25to64,92288
12,2019-20,B,North West,00EW,E06000050,Cheshire West and Chester,Number,Number_Screened_25to64,19460
12,2019-20,B,North West,00EW,E06000050,Cheshire West and Chester,%,Borderline_changes_25to64,1.079136691
12,2019-20,B,North West,00EW,E06000050,Cheshire West and Chester,%,Low_Grade_dyskaryosis_25to64,1.788283659
12,2019-20,B,North West,00EW,E06000050,Cheshire West and Chester,%,Moderate_dyskaryosis_25to64,0.400822199
12,2019-20,B,North West,00EW,E06000050,Cheshire West and Chester,%,Negative_25to64,96.08941418
12,2019-20,B,North West,00EW,E06000050,Cheshire West and Chester,%,Severe_dyskaryosis_or_worse_25to64,0.642343268
12,2019-20,B,North West,00EX,E06000008,Blackburn with Darwen,Number,Eligible_Population_25to64,40198
12,2019-20,B,North West,00EX,E06000008,Blackburn with Darwen,Number,Number_Screened_25to64,7682
12,2019-20,B,North West,00EX,E06000008,Blackburn with Darwen,%,Borderline_changes_25to64,0.755011716
12,2019-20,B,North West,00EX,E06000008,Blackburn with Darwen,%,Low_Grade_dyskaryosis_25to64,1.497005988
12,2019-20,B,North West,00EX,E06000008,Blackburn with Darwen,%,Moderate_dyskaryosis_25to64,0.325436084
12,2019-20,B,North West,00EX,E06000008,Blackburn with Darwen,%,Negative_25to64,96.69356938
12,2019-20,B,North West,00EX,E06000008,Blackburn with Darwen,%,Severe_dyskaryosis_or_worse_25to64,0.728976829
12,2019-20,B,North West,00EY,E06000009,Blackpool,Number,Eligible_Population_25to64,37650
12,2019-20,B,North West,00EY,E06000009,Blackpool,Number,Number_Screened_25to64,8162
12,2019-20,B,North West,00EY,E06000009,Blackpool,%,Borderline_changes_25to64,1.078167116
12,2019-20,B,North West,00EY,E06000009,Blackpool,%,Low_Grade_dyskaryosis_25to64,2.278853222
12,2019-20,B,North West,00EY,E06000009,Blackpool,%,Moderate_dyskaryosis_25to64,0.490075962
12,2019-20,B,North West,00EY,E06000009,Blackpool,%,Negative_25to64,95.25851507
12,2019-20,B,North West,00EY,E06000009,Blackpool,%,Severe_dyskaryosis_or_worse_25to64,0.89438863
12,2019-20,B,North West,16,E10000006,Cumbria,Number,Eligible_Population_25to64,125020
12,2019-20,B,North West,16,E10000006,Cumbria,Number,Number_Screened_25to64,28473
12,2019-20,B,North West,16,E10000006,Cumbria,%,Borderline_changes_25to64,0.930706283
12,2019-20,B,North West,16,E10000006,Cumbria,%,Low_Grade_dyskaryosis_25to64,1.84736417
12,2019-20,B,North West,16,E10000006,Cumbria,%,Moderate_dyskaryosis_25to64,0.358234117
12,2019-20,B,North West,16,E10000006,Cumbria,%,Negative_25to64,96.24907807
12,2019-20,B,North West,16,E10000006,Cumbria,%,Severe_dyskaryosis_or_worse_25to64,0.614617357
12,2019-20,B,North West,30,E10000017,Lancashire,Number,Eligible_Population_25to64,313036
12,2019-20,B,North West,30,E10000017,Lancashire,Number,Number_Screened_25to64,65779
12,2019-20,B,North West,30,E10000017,Lancashire,%,Borderline_changes_25to64,0.831572386
12,2019-20,B,North West,30,E10000017,Lancashire,%,Low_Grade_dyskaryosis_25to64,1.73611639
12,2019-20,B,North West,30,E10000017,Lancashire,%,Moderate_dyskaryosis_25to64,0.337493729
12,2019-20,B,North West,30,E10000017,Lancashire,%,Negative_25to64,96.44263367
12,2019-20,B,North West,30,E10000017,Lancashire,%,Severe_dyskaryosis_or_worse_25to64,0.652183828
12,2019-20,B,North West,B,B,North West,Number,Eligible_Population_25to64,1960266
12,2019-20,B,North West,B,B,North West,Number,Number_Screened_25to64,416551
12,2019-20,B,North West,B,B,North West,%,Borderline_changes_25to64,0.970589436
12,2019-20,B,North West,B,B,North West,%,Low_Grade_dyskaryosis_25to64,2.066253592
12,2019-20,B,North West,B,B,North West,%,Moderate_dyskaryosis_25to64,0.446043822
12,2019-20,B,North West,B,B,North West,%,Negative_25to64,95.81587849
12,2019-20,B,North West,B,B,North West,%,Severe_dyskaryosis_or_worse_25to64,0.701234663
12,2019-20,D,Yorkshire and the Humber,00CC,E08000016,Barnsley,Number,Eligible_Population_25to64,64505
12,2019-20,D,Yorkshire and the Humber,00CC,E08000016,Barnsley,Number,Number_Screened_25to64,13838
12,2019-20,D,Yorkshire and the Humber,00CC,E08000016,Barnsley,%,Borderline_changes_25to64,1.48865443
12,2019-20,D,Yorkshire and the Humber,00CC,E08000016,Barnsley,%,Low_Grade_dyskaryosis_25to64,1.495880908
12,2019-20,D,Yorkshire and the Humber,00CC,E08000016,Barnsley,%,Moderate_dyskaryosis_25to64,0.325191502
12,2019-20,D,Yorkshire and the Humber,00CC,E08000016,Barnsley,%,Negative_25to64,95.56294262
12,2019-20,D,Yorkshire and the Humber,00CC,E08000016,Barnsley,%,Severe_dyskaryosis_or_worse_25to64,1.127330539
12,2019-20,D,Yorkshire and the Humber,00CE,E08000017,Doncaster,Number,Eligible_Population_25to64,79870
12,2019-20,D,Yorkshire and the Humber,00CE,E08000017,Doncaster,Number,Number_Screened_25to64,16269
12,2019-20,D,Yorkshire and the Humber,00CE,E08000017,Doncaster,%,Borderline_changes_25to64,1.573544778
12,2019-20,D,Yorkshire and the Humber,00CE,E08000017,Doncaster,%,Low_Grade_dyskaryosis_25to64,1.481344889
12,2019-20,D,Yorkshire and the Humber,00CE,E08000017,Doncaster,%,Moderate_dyskaryosis_25to64,0.313479624
12,2019-20,D,Yorkshire and the Humber,00CE,E08000017,Doncaster,%,Negative_25to64,95.97393816
12,2019-20,D,Yorkshire and the Humber,00CE,E08000017,Doncaster,%,Severe_dyskaryosis_or_worse_25to64,0.657692544
12,2019-20,D,Yorkshire and the Humber,00CF,E08000018,Rotherham,Number,Eligible_Population_25to64,68180
12,2019-20,D,Yorkshire and the Humber,00CF,E08000018,Rotherham,Number,Number_Screened_25to64,15079
12,2019-20,D,Yorkshire and the Humber,00CF,E08000018,Rotherham,%,Borderline_changes_25to64,1.372770078
12,2019-20,D,Yorkshire and the Humber,00CF,E08000018,Rotherham,%,Low_Grade_dyskaryosis_25to64,1.47224617
12,2019-20,D,Yorkshire and the Humber,00CF,E08000018,Rotherham,%,Moderate_dyskaryosis_25to64,0.444326547
12,2019-20,D,Yorkshire and the Humber,00CF,E08000018,Rotherham,%,Negative_25to64,95.92811194
12,2019-20,D,Yorkshire and the Humber,00CF,E08000018,Rotherham,%,Severe_dyskaryosis_or_worse_25to64,0.782545262
