Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Unit,Indicator,Value
19a,2019-20,R2,North West,62010,Manchester Cytology Centre,Rate,RV_C1_19-19,2.5653923541247500000
19a,2019-20,R2,North West,62010,Manchester Cytology Centre,Rate,RV_C2_18-19,2.5837755875663400000
19a,2019-20,R2,North West,61920,Royal Liverpool University Hospital,%,APV_C1_19-19,6.6343042071197400000
19a,2019-20,R2,North West,61920,Royal Liverpool University Hospital,%,APV_C2_18-19,10.0562148657089000000
19a,2019-20,R2,North West,61920,Royal Liverpool University Hospital,%,PPV_C1_19-19,84.9180327868852000000
19a,2019-20,R2,North West,61920,Royal Liverpool University Hospital,%,PPV_C2_18-19,91.9889502762431000000
19a,2019-20,R2,North West,61920,Royal Liverpool University Hospital,Rate,RV_C1_19-19,3.0766666666666700000
19a,2019-20,R2,North West,61920,Royal Liverpool University Hospital,Rate,RV_C2_18-19,2.8113663845223700000
19a,2019-20,R2,North West,61930,Whiston Hospital,%,APV_C1_19-19,18.8811188811189000000
19a,2019-20,R2,North West,61930,Whiston Hospital,%,APV_C2_18-19,17.3044925124792000000
19a,2019-20,R2,North West,61930,Whiston Hospital,%,PPV_C1_19-19,90.9090909090909000000
19a,2019-20,R2,North West,61930,Whiston Hospital,%,PPV_C2_18-19,89.9761336515513000000
19a,2019-20,R2,North West,61930,Whiston Hospital,Rate,RV_C1_19-19,1.9921259842519700000
19a,2019-20,R2,North West,61930,Whiston Hospital,Rate,RV_C2_18-19,2.1205821205821200000
19a,2019-20,R3,Yorkshire and the Humber,60310,Leeds Teaching Hospitals,%,APV_C1_19-19,15.7894736842105000000
19a,2019-20,R3,Yorkshire and the Humber,60310,Leeds Teaching Hospitals,%,APV_C2_18-19,16.0980297933686000000
19a,2019-20,R3,Yorkshire and the Humber,60310,Leeds Teaching Hospitals,%,PPV_C1_19-19,89.9109792284866000000
19a,2019-20,R3,Yorkshire and the Humber,60310,Leeds Teaching Hospitals,%,PPV_C2_18-19,88.1569207994078000000
19a,2019-20,R3,Yorkshire and the Humber,60310,Leeds Teaching Hospitals,Rate,RV_C1_19-19,2.3383838383838400000
19a,2019-20,R3,Yorkshire and the Humber,60310,Leeds Teaching Hospitals,Rate,RV_C2_18-19,2.2490170380078600000
19a,2019-20,R3,Yorkshire and the Humber,60470,Royal Hallamshire Hospital,%,APV_C1_19-19,13.6636636636637000000
19a,2019-20,R3,Yorkshire and the Humber,60470,Royal Hallamshire Hospital,%,APV_C2_18-19,13.2841328413284000000
19a,2019-20,R3,Yorkshire and the Humber,60470,Royal Hallamshire Hospital,%,PPV_C1_19-19,83.1615120274914000000
19a,2019-20,R3,Yorkshire and the Humber,60470,Royal Hallamshire Hospital,%,PPV_C2_18-19,82.2091062394604000000
19a,2019-20,R3,Yorkshire and the Humber,60470,Royal Hallamshire Hospital,Rate,RV_C1_19-19,2.8738738738738700000
19a,2019-20,R3,Yorkshire and the Humber,60470,Royal Hallamshire Hospital,Rate,RV_C2_18-19,2.9183520599250900000
19a,2019-20,R3,Yorkshire and the Humber,60340,York Hospital,%,APV_C1_19-19,14.0703517587940000000
19a,2019-20,R3,Yorkshire and the Humber,60340,York Hospital,%,APV_C2_18-19,15.1108126259234000000
19a,2019-20,R3,Yorkshire and the Humber,60340,York Hospital,%,PPV_C1_19-19,88.0645161290323000000
19a,2019-20,R3,Yorkshire and the Humber,60340,York Hospital,%,PPV_C2_18-19,84.7560975609756000000
19a,2019-20,R3,Yorkshire and the Humber,60340,York Hospital,Rate,RV_C1_19-19,2.1519756838905800000
19a,2019-20,R3,Yorkshire and the Humber,60340,York Hospital,Rate,RV_C2_18-19,2.2011686143572600000
19a,2019-20,R4,East Midlands,61450,Kettering General Hospital,%,APV_C1_19-19,19.0000000000000000000
19a,2019-20,R4,East Midlands,61450,Kettering General Hospital,%,APV_C2_18-19,18.9249720044793000000
19a,2019-20,R4,East Midlands,61450,Kettering General Hospital,%,PPV_C1_19-19,93.7500000000000000000
19a,2019-20,R4,East Midlands,61450,Kettering General Hospital,%,PPV_C2_18-19,83.9195979899498000000
19a,2019-20,R4,East Midlands,61450,Kettering General Hospital,Rate,RV_C1_19-19,2.6938775510204100000
19a,2019-20,R4,East Midlands,61450,Kettering General Hospital,Rate,RV_C2_18-19,2.5666003976143100000
19a,2019-20,R4,East Midlands,60420,Leicester Royal Infirmary,%,APV_C1_19-19,16.5000000000000000000
19a,2019-20,R4,East Midlands,60420,Leicester Royal Infirmary,%,APV_C2_18-19,22.9080932784637000000
19a,2019-20,R4,East Midlands,60420,Leicester Royal Infirmary,%,PPV_C1_19-19,90.2912621359223000000
19a,2019-20,R4,East Midlands,60420,Leicester Royal Infirmary,%,PPV_C2_18-19,90.8396946564885000000
19a,2019-20,R4,East Midlands,60420,Leicester Royal Infirmary,Rate,RV_C1_19-19,2.4047619047619000000
19a,2019-20,R4,East Midlands,60420,Leicester Royal Infirmary,Rate,RV_C2_18-19,2.1412213740458000000
19a,2019-20,R4,East Midlands,60370,Royal Derby Hospital,%,APV_C1_19-19,20.5493387589013000000
19a,2019-20,R4,East Midlands,60370,Royal Derby Hospital,%,APV_C2_18-19,15.0285481239804000000
19a,2019-20,R4,East Midlands,60370,Royal Derby Hospital,%,PPV_C1_19-19,87.3315363881402000000
19a,2019-20,R4,East Midlands,60370,Royal Derby Hospital,%,PPV_C2_18-19,84.3058350100604000000
19a,2019-20,R4,East Midlands,60370,Royal Derby Hospital,Rate,RV_C1_19-19,2.5741444866920200000
19a,2019-20,R4,East Midlands,60370,Royal Derby Hospital,Rate,RV_C2_18-19,2.8561956071280600000
19a,2019-20,R5,West Midlands,61790,Birmingham Heartlands Hospital,%,APV_C1_19-19,10.1503759398496000000
19a,2019-20,R5,West Midlands,61790,Birmingham Heartlands Hospital,%,APV_C2_18-19,9.6153846153846200000
19a,2019-20,R5,West Midlands,61790,Birmingham Heartlands Hospital,%,PPV_C1_19-19,90.1639344262295000000
19a,2019-20,R5,West Midlands,61790,Birmingham Heartlands Hospital,%,PPV_C2_18-19,85.5462184873950000000
19a,2019-20,R5,West Midlands,61790,Birmingham Heartlands Hospital,Rate,RV_C1_19-19,3.9878048780487800000
19a,2019-20,R5,West Midlands,61790,Birmingham Heartlands Hospital,Rate,RV_C2_18-19,3.5307017543859600000
19a,2019-20,R5,West Midlands,61720,Royal Stoke University Hospital,%,APV_C1_19-19,10.0628930817610000000
19a,2019-20,R5,West Midlands,61720,Royal Stoke University Hospital,%,APV_C2_18-19,10.5077262693157000000
19a,2019-20,R5,West Midlands,61720,Royal Stoke University Hospital,%,PPV_C1_19-19,81.4285714285714000000
19a,2019-20,R5,West Midlands,61720,Royal Stoke University Hospital,%,PPV_C2_18-19,83.4651898734177000000
19a,2019-20,R5,West Midlands,61720,Royal Stoke University Hospital,Rate,RV_C1_19-19,2.8252148997134700000
19a,2019-20,R5,West Midlands,61720,Royal Stoke University Hospital,Rate,RV_C2_18-19,2.7293116782675900000
19a,2019-20,R5,West Midlands,61740,Royal Wolverhampton Hospitals,%,APV_C1_19-19,8.3743842364532000000
19a,2019-20,R5,West Midlands,61740,Royal Wolverhampton Hospitals,%,APV_C2_18-19,14.4450641383157000000
19a,2019-20,R5,West Midlands,61740,Royal Wolverhampton Hospitals,%,PPV_C1_19-19,85.0574712643678000000
19a,2019-20,R5,West Midlands,61740,Royal Wolverhampton Hospitals,%,PPV_C2_18-19,88.4322678843227000000
19a,2019-20,R5,West Midlands,61740,Royal Wolverhampton Hospitals,Rate,RV_C1_19-19,3.1868131868131900000
19a,2019-20,R5,West Midlands,61740,Royal Wolverhampton Hospitals,Rate,RV_C2_18-19,2.9166666666666700000
19a,2019-20,R5,West Midlands,61820,"University Hospital, Coventry",%,APV_C1_19-19,12.0930232558140000000
19a,2019-20,R5,West Midlands,61820,"University Hospital, Coventry",%,APV_C2_18-19,12.7336448598131000000
19a,2019-20,R5,West Midlands,61820,"University Hospital, Coventry",%,PPV_C1_19-19,77.2727272727273000000
19a,2019-20,R5,West Midlands,61820,"University Hospital, Coventry",%,PPV_C2_18-19,84.9056603773585000000
19a,2019-20,R5,West Midlands,61820,"University Hospital, Coventry",Rate,RV_C1_19-19,3.2234042553191500000
19a,2019-20,R5,West Midlands,61820,"University Hospital, Coventry",Rate,RV_C2_18-19,2.7292110874200400000
19a,2019-20,R6,East of England,60610,Bedford Hospital,%,APV_C1_19-19,5.8394160583941600000
19a,2019-20,R6,East of England,60610,Bedford Hospital,%,APV_C2_18-19,6.1420345489443400000
19a,2019-20,R6,East of England,60610,Bedford Hospital,%,PPV_C1_19-19,86.3636363636364000000
19a,2019-20,R6,East of England,60610,Bedford Hospital,%,PPV_C2_18-19,83.9160839160839000000
19a,2019-20,R6,East of England,60610,Bedford Hospital,Rate,RV_C1_19-19,4.6575342465753400000
19a,2019-20,R6,East of England,60610,Bedford Hospital,Rate,RV_C2_18-19,4.3684210526315800000
19a,2019-20,R6,East of England,60500,Cervical Cytology Network,%,APV_C1_19-19,6.4102564102564100000
19a,2019-20,R6,East of England,60500,Cervical Cytology Network,%,APV_C2_18-19,7.0395163031742600000
19a,2019-20,R6,East of England,60500,Cervical Cytology Network,%,PPV_C1_19-19,76.0000000000000000000
19a,2019-20,R6,East of England,60500,Cervical Cytology Network,%,PPV_C2_18-19,76.0869565217391000000
19a,2019-20,R6,East of England,60500,Cervical Cytology Network,Rate,RV_C1_19-19,3.5600739371534200000
19a,2019-20,R6,East of England,60500,Cervical Cytology Network,Rate,RV_C2_18-19,3.4092721834496500000
19a,2019-20,R6,East of England,60540,Norfolk and Norwich University Hospital,%,APV_C1_19-19,14.3115942028986000000
19a,2019-20,R6,East of England,60540,Norfolk and Norwich University Hospital,%,APV_C2_18-19,17.6927056389033000000
19a,2019-20,R6,East of England,60540,Norfolk and Norwich University Hospital,%,PPV_C1_19-19,91.3242009132420000000
19a,2019-20,R6,East of England,60540,Norfolk and Norwich University Hospital,%,PPV_C2_18-19,91.6349809885932000000
19a,2019-20,R6,East of England,60540,Norfolk and Norwich University Hospital,Rate,RV_C1_19-19,2.7634408602150500000
19a,2019-20,R6,East of England,60540,Norfolk and Norwich University Hospital,Rate,RV_C2_18-19,2.5558685446009400000
19a,2019-20,R6,East of England,60865,Pathology First,%,APV_C1_19-19,6.0283687943262400000
19a,2019-20,R6,East of England,60865,Pathology First,%,APV_C2_18-19,10.3618421052632000000
19a,2019-20,R6,East of England,60865,Pathology First,%,PPV_C1_19-19,76.6666666666667000000
19a,2019-20,R6,East of England,60865,Pathology First,%,PPV_C2_18-19,79.6650717703349000000
19a,2019-20,R6,East of England,60865,Pathology First,Rate,RV_C1_19-19,4.3255813953488400000
19a,2019-20,R6,East of England,60865,Pathology First,Rate,RV_C2_18-19,3.5599128540305000000
19a,2019-20,R6,East of England,60560,Peterborough City Hospital,%,APV_C1_19-19,-1.0000000000000000000
19a,2019-20,R6,East of England,60560,Peterborough City Hospital,%,APV_C2_18-19,5.8047493403693900000
19a,2019-20,R6,East of England,60560,Peterborough City Hospital,%,PPV_C1_19-19,-1.0000000000000000000
19a,2019-20,R6,East of England,60560,Peterborough City Hospital,%,PPV_C2_18-19,84.8275862068966000000
19a,2019-20,R6,East of England,60560,Peterborough City Hospital,Rate,RV_C1_19-19,-1.0000000000000000000
19a,2019-20,R6,East of England,60560,Peterborough City Hospital,Rate,RV_C2_18-19,3.6137931034482800000
19a,2019-20,R6,East of England,60750,Watford General Hospital,%,APV_C1_19-19,7.3033707865168500000
19a,2019-20,R6,East of England,60750,Watford General Hospital,%,APV_C2_18-19,10.8202443280977000000
19a,2019-20,R6,East of England,60750,Watford General Hospital,%,PPV_C1_19-19,67.1641791044776000000
19a,2019-20,R6,East of England,60750,Watford General Hospital,%,PPV_C2_18-19,77.7310924369748000000
19a,2019-20,R6,East of England,60750,Watford General Hospital,Rate,RV_C1_19-19,4.2241379310344800000
19a,2019-20,R6,East of England,60750,Watford General Hospital,Rate,RV_C2_18-19,3.2834008097166000000
19a,2019-20,R7,London,61025,Health Service Laboratories Cervical Cytology Service,%,APV_C1_19-19,8.4660519698239700000
19a,2019-20,R7,London,61025,Health Service Laboratories Cervical Cytology Service,%,APV_C2_18-19,8.6893764434180100000
19a,2019-20,R7,London,61025,Health Service Laboratories Cervical Cytology Service,%,PPV_C1_19-19,76.8166089965398000000
19a,2019-20,R7,London,61025,Health Service Laboratories Cervical Cytology Service,%,PPV_C2_18-19,76.6439909297052000000
19a,2019-20,R7,London,61025,Health Service Laboratories Cervical Cytology Service,Rate,RV_C1_19-19,4.5882352941176500000
19a,2019-20,R7,London,61025,Health Service Laboratories Cervical Cytology Service,Rate,RV_C2_18-19,4.4483111566018400000
19a,2019-20,R7,London,60710,Northwick Park Hospital (TDL),%,APV_C1_19-19,5.0173010380622800000
19a,2019-20,R7,London,60710,Northwick Park Hospital (TDL),%,APV_C2_18-19,7.3311367380560100000
19a,2019-20,R7,London,60710,Northwick Park Hospital (TDL),%,PPV_C1_19-19,76.9230769230769000000
19a,2019-20,R7,London,60710,Northwick Park Hospital (TDL),%,PPV_C2_18-19,78.7072243346008000000
19a,2019-20,R7,London,60710,Northwick Park Hospital (TDL),Rate,RV_C1_19-19,6.2568807339449500000
19a,2019-20,R7,London,60710,Northwick Park Hospital (TDL),Rate,RV_C2_18-19,4.9898648648648600000
19a,2019-20,R7,London,61140,Princess Royal University Hospital,%,APV_C1_19-19,15.1125401929260000000
19a,2019-20,R7,London,61140,Princess Royal University Hospital,%,APV_C2_18-19,16.5160230073952000000
19a,2019-20,R7,London,61140,Princess Royal University Hospital,%,PPV_C1_19-19,84.4155844155844000000
19a,2019-20,R7,London,61140,Princess Royal University Hospital,%,PPV_C2_18-19,78.3933518005540000000
19a,2019-20,R7,London,61140,Princess Royal University Hospital,Rate,RV_C1_19-19,3.4642857142857100000
19a,2019-20,R7,London,61140,Princess Royal University Hospital,Rate,RV_C2_18-19,3.2603305785124000000
19a,2019-20,R7,London,60800,Queen's Hospital,%,APV_C1_19-19,11.4503816793893000000
19a,2019-20,R7,London,60800,Queen's Hospital,%,APV_C2_18-19,9.4256259204712800000
19a,2019-20,R7,London,60800,Queen's Hospital,%,PPV_C1_19-19,77.8846153846154000000
19a,2019-20,R7,London,60800,Queen's Hospital,%,PPV_C2_18-19,80.1980198019802000000
19a,2019-20,R7,London,60800,Queen's Hospital,Rate,RV_C1_19-19,3.9444444444444400000
19a,2019-20,R7,London,60800,Queen's Hospital,Rate,RV_C2_18-19,3.8982300884955800000
19a,2019-20,R7,London,61300,South West London Pathology,%,APV_C1_19-19,8.9810017271157200000
19a,2019-20,R7,London,61300,South West London Pathology,%,APV_C2_18-19,11.8290776446066000000
19a,2019-20,R7,London,61300,South West London Pathology,%,PPV_C1_19-19,79.3548387096774000000
19a,2019-20,R7,London,61300,South West London Pathology,%,PPV_C2_18-19,80.8027923211169000000
19a,2019-20,R7,London,61300,South West London Pathology,Rate,RV_C1_19-19,4.1942857142857100000
19a,2019-20,R7,London,61300,South West London Pathology,Rate,RV_C2_18-19,3.6115942028985500000
19a,2019-20,R7,London,61280,St Helier Hospital,%,APV_C1_19-19,12.8491620111732000000
19a,2019-20,R7,London,61280,St Helier Hospital,%,APV_C2_18-19,14.8773006134969000000
19a,2019-20,R7,London,61280,St Helier Hospital,%,PPV_C1_19-19,76.2711864406780000000
19a,2019-20,R7,London,61280,St Helier Hospital,%,PPV_C2_18-19,81.7647058823529000000
19a,2019-20,R7,London,61280,St Helier Hospital,Rate,RV_C1_19-19,3.5000000000000000000
19a,2019-20,R7,London,61280,St Helier Hospital,Rate,RV_C2_18-19,3.4830508474576300000
19a,2019-20,R7,London,60745,St Mary's Hospital,%,APV_C1_19-19,14.6875000000000000000
19a,2019-20,R7,London,60745,St Mary's Hospital,%,APV_C2_18-19,14.0408163265306000000
19a,2019-20,R7,London,60745,St Mary's Hospital,%,PPV_C1_19-19,79.5454545454545000000
19a,2019-20,R7,London,60745,St Mary's Hospital,%,PPV_C2_18-19,76.2195121951220000000
19a,2019-20,R7,London,60745,St Mary's Hospital,Rate,RV_C1_19-19,4.4390243902439000000
19a,2019-20,R7,London,60745,St Mary's Hospital,Rate,RV_C2_18-19,4.6767676767676800000
19a,2019-20,R7,London,61090,St Thomas' Hospital,%,APV_C1_19-19,11.4391143911439000000
19a,2019-20,R7,London,61090,St Thomas' Hospital,%,APV_C2_18-19,12.3620309050773000000
19a,2019-20,R7,London,61090,St Thomas' Hospital,%,PPV_C1_19-19,85.4014598540146000000
19a,2019-20,R7,London,61090,St Thomas' Hospital,%,PPV_C2_18-19,81.0483870967742000000
19a,2019-20,R7,London,61090,St Thomas' Hospital,Rate,RV_C1_19-19,3.7932960893854700000
19a,2019-20,R7,London,61090,St Thomas' Hospital,Rate,RV_C2_18-19,4.0483870967741900000
19a,2019-20,R7,London,60900,The Royal London Hospital,%,APV_C1_19-19,16.8458781362007000000
19a,2019-20,R7,London,60900,The Royal London Hospital,%,APV_C2_18-19,16.2256267409471000000
19a,2019-20,R7,London,60900,The Royal London Hospital,%,PPV_C1_19-19,78.7709497206704000000
19a,2019-20,R7,London,60900,The Royal London Hospital,%,PPV_C2_18-19,76.6574585635359000000
19a,2019-20,R7,London,60900,The Royal London Hospital,Rate,RV_C1_19-19,3.6028368794326200000
19a,2019-20,R7,London,60900,The Royal London Hospital,Rate,RV_C2_18-19,3.5220372184133200000
19a,2019-20,R8,South East,61290,Berkshire and Surrey Pathology Services,%,APV_C1_19-19,12.7891156462585000000
19a,2019-20,R8,South East,61290,Berkshire and Surrey Pathology Services,%,APV_C2_18-19,13.3306804615997000000
19a,2019-20,R8,South East,61290,Berkshire and Surrey Pathology Services,%,PPV_C1_19-19,81.2949640287770000000
19a,2019-20,R8,South East,61290,Berkshire and Surrey Pathology Services,%,PPV_C2_18-19,80.4526748971193000000
